observation_id,base_id,observed_at,temp_c,wind_speed_kts,wind_gust_kts,visibility_sm,ceiling_ft,precip_type,precip_intensity,flight_category
24,1,2024-01-03 21:00:00,18.7,8,,7.4,19210,none,,VFR
25,1,2024-01-04 00:00:00,16.3,2,8,4.7,22987,none,,MVFR
26,1,2024-01-04 03:00:00,13.6,6,,10.1,21175,none,,VFR
27,1,2024-01-04 06:00:00,7.2,14,,6.5,8783,none,,VFR
28,1,2024-01-04 09:00:00,5.5,10,,6.3,10064,none,,VFR
29,1,2024-01-04 12:00:00,5.9,10,,5.9,18794,none,,VFR
30,1,2024-01-04 15:00:00,21.1,14,,1.8,21887,none,,IFR
31,1,2024-01-04 18:00:00,-5.6,21,,9.9,8629,none,,VFR
32,1,2024-01-04 21:00:00,11.1,16,,6.4,8961,none,,VFR
33,1,2024-01-05 00:00:00,21.1,18,18,6.7,5250,none,,VFR
34,1,2024-01-05 03:00:00,13.5,17,,7.9,1923,none,,MVFR
35,1,2024-01-05 06:00:00,14.1,8,13,11.5,18549,none,,VFR
36,1,2024-01-05 09:00:00,24.1,9,,8.9,3912,none,,VFR
37,1,2024-01-05 12:00:00,3.9,0,1,6.9,24771,none,,VFR
38,1,2024-01-05 15:00:00,11.0,15,24,4.3,19827,none,,MVFR
39,1,2024-01-05 18:00:00,10.2,10,,8.0,14517,rain,heavy,VFR
40,1,2024-01-05 21:00:00,17.2,3,8,8.3,7834,none,,VFR
41,1,2024-01-06 00:00:00,8.1,13,,11.2,19542,rain,light,VFR
42,1,2024-01-06 03:00:00,13.1,6,,6.1,15863,rain,moderate,VFR
43,1,2024-01-06 06:00:00,3.6,0,,8.5,24260,none,,VFR
44,1,2024-01-06 09:00:00,18.0,4,5,6.3,15553,none,,VFR
45,1,2024-01-06 12:00:00,3.4,19,,12.0,9613,none,,VFR
46,1,2024-01-06 15:00:00,16.8,0,,10.0,25138,rain,heavy,VFR
47,1,2024-01-06 18:00:00,18.7,21,,7.4,8419,none,,VFR
48,1,2024-01-06 21:00:00,27.4,14,20,7.7,21692,rain,heavy,VFR
49,1,2024-01-07 00:00:00,6.2,7,,9.1,19614,none,,VFR
50,1,2024-01-07 03:00:00,7.5,9,,6.3,11480,none,,VFR
51,1,2024-01-07 06:00:00,19.2,7,,6.0,7762,rain,heavy,VFR
52,1,2024-01-07 09:00:00,12.4,19,,5.8,13028,none,,VFR
53,1,2024-01-07 12:00:00,-0.9,11,,3.8,20474,none,,MVFR
54,1,2024-01-07 15:00:00,17.1,3,,6.4,12962,none,,VFR
55,1,2024-01-07 18:00:00,7.3,11,25,6.5,9529,none,,VFR
56,1,2024-01-07 21:00:00,35.0,23,,10.5,7514,none,,VFR
57,1,2024-01-08 00:00:00,19.3,5,,12.7,23482,none,,VFR
58,1,2024-01-08 03:00:00,14.5,25,,9.5,24414,rain,heavy,VFR
59,1,2024-01-08 06:00:00,16.9,6,,6.3,17400,none,,VFR
60,1,2024-01-08 09:00:00,10.6,0,11,5.1,1148,none,,MVFR
61,1,2024-01-08 12:00:00,21.8,15,,7.4,11137,none,,VFR
62,1,2024-01-08 15:00:00,17.9,11,,6.0,23152,none,,VFR
63,1,2024-01-08 18:00:00,16.9,11,,6.0,4065,none,,VFR
64,1,2024-01-08 21:00:00,11.2,1,,12.2,4468,none,,VFR
65,1,2024-01-09 00:00:00,12.0,16,24,7.8,13018,none,,VFR
66,1,2024-01-09 03:00:00,21.4,7,,5.7,16916,none,,VFR
67,1,2024-01-09 06:00:00,25.8,8,,7.6,6251,rain,moderate,VFR
68,1,2024-01-09 09:00:00,2.6,10,,7.6,13855,none,,VFR
69,1,2024-01-09 12:00:00,3.5,9,,8.3,14080,none,,VFR
70,1,2024-01-09 15:00:00,15.6,12,,7.8,17684,rain,heavy,VFR
71,1,2024-01-09 18:00:00,18.1,8,,5.2,26697,none,,VFR
72,1,2024-01-09 21:00:00,20.9,13,,5.2,15748,none,,VFR
73,1,2024-01-10 00:00:00,4.3,15,,9.0,21422,none,,VFR
74,1,2024-01-10 03:00:00,3.8,7,8,11.5,27771,none,,VFR
75,1,2024-01-10 06:00:00,11.7,12,,3.7,19976,none,,MVFR
76,1,2024-01-10 09:00:00,11.4,5,17,8.9,25577,none,,VFR
77,1,2024-01-10 12:00:00,22.6,19,,12.1,27564,none,,VFR
78,1,2024-01-10 15:00:00,19.9,0,,7.1,19172,rain,moderate,VFR
79,1,2024-01-10 18:00:00,16.5,16,22,6.4,200,none,,LIFR
80,1,2024-01-10 21:00:00,22.1,3,14,5.9,19767,none,,VFR
81,1,2024-01-11 00:00:00,9.0,8,,9.0,16412,none,,VFR
82,1,2024-01-11 03:00:00,21.8,1,,5.9,11427,rain,heavy,VFR
83,1,2024-01-11 06:00:00,12.9,15,,6.8,19484,none,,VFR
84,1,2024-01-11 09:00:00,25.5,15,,8.4,1392,none,,MVFR
85,1,2024-01-11 12:00:00,12.1,6,,5.7,20703,none,,VFR
86,1,2024-01-11 15:00:00,20.4,10,,8.5,13265,none,,VFR
87,1,2024-01-11 18:00:00,10.6,10,,5.1,24673,rain,moderate,VFR
88,1,2024-01-11 21:00:00,9.0,18,19,8.0,26142,none,,VFR
89,1,2024-01-12 00:00:00,25.7,9,,8.9,13564,none,,VFR
90,1,2024-01-12 03:00:00,-2.5,6,,9.3,22674,none,,VFR
91,1,2024-01-12 06:00:00,8.8,4,,7.5,13779,none,,VFR
92,1,2024-01-12 09:00:00,10.6,14,29,6.0,4368,none,,VFR
93,1,2024-01-12 12:00:00,14.9,13,,14.9,3781,none,,VFR
94,1,2024-01-12 15:00:00,11.2,11,,5.0,15016,none,,VFR
95,1,2024-01-12 18:00:00,-1.7,16,,10.4,11029,none,,VFR
96,1,2024-01-12 21:00:00,12.6,1,3,6.0,625,none,,IFR
97,1,2024-01-13 00:00:00,14.6,5,,9.7,7954,none,,VFR
98,1,2024-01-13 03:00:00,1.5,10,15,9.9,12605,none,,VFR
99,1,2024-01-13 06:00:00,8.5,7,15,4.6,10300,none,,MVFR
100,1,2024-01-13 09:00:00,18.9,8,22,10.6,7948,none,,VFR
101,1,2024-01-13 12:00:00,18.2,20,,5.1,3430,none,,VFR
102,1,2024-01-13 15:00:00,14.2,5,,6.4,15419,none,,VFR
103,1,2024-01-13 18:00:00,27.1,17,29,0.2,19632,none,,LIFR
104,1,2024-01-13 21:00:00,16.8,17,26,9.3,20559,none,,VFR
105,1,2024-01-14 00:00:00,14.2,13,,3.0,22622,none,,MVFR
106,1,2024-01-14 03:00:00,25.3,0,,9.2,24962,none,,VFR
107,1,2024-01-14 06:00:00,2.8,8,,5.5,6998,none,,VFR
108,1,2024-01-14 09:00:00,4.5,26,36,6.6,8631,none,,VFR
109,1,2024-01-14 12:00:00,24.1,13,,7.9,25561,none,,VFR
110,1,2024-01-14 15:00:00,13.4,5,18,9.7,20955,none,,VFR
111,1,2024-01-14 18:00:00,0.4,12,21,7.3,13361,none,,VFR
112,1,2024-01-14 21:00:00,10.5,13,,6.9,16763,none,,VFR
113,1,2024-01-15 00:00:00,19.2,11,15,6.7,9969,none,,VFR
114,1,2024-01-15 03:00:00,29.9,23,,8.5,5282,none,,VFR
115,1,2024-01-15 06:00:00,32.8,20,24,8.7,24717,rain,moderate,VFR
116,1,2024-01-15 09:00:00,-3.2,2,,9.6,8322,none,,VFR
117,1,2024-01-15 12:00:00,1.0,7,,6.6,16608,none,,VFR
118,1,2024-01-15 15:00:00,-1.7,7,,7.8,19885,none,,VFR
119,1,2024-01-15 18:00:00,31.1,19,,5.4,24117,none,,VFR
120,1,2024-01-15 21:00:00,3.6,11,,9.5,17740,rain,heavy,VFR
121,1,2024-01-16 00:00:00,30.3,18,,10.4,29550,none,,VFR
122,1,2024-01-16 03:00:00,17.2,8,,6.5,200,none,,LIFR
123,1,2024-01-16 06:00:00,-2.6,6,,6.9,20977,none,,VFR
124,1,2024-01-16 09:00:00,-0.7,4,,6.8,16182,none,,VFR
125,1,2024-01-16 12:00:00,15.4,2,,7.4,30633,none,,VFR
126,1,2024-01-16 15:00:00,17.2,12,12,12.3,30511,none,,VFR
127,1,2024-01-16 18:00:00,19.8,9,,8.9,10926,none,,VFR
128,1,2024-01-16 21:00:00,6.2,5,,11.6,14222,none,,VFR
129,1,2024-01-17 00:00:00,15.6,7,,5.6,12306,rain,moderate,VFR
130,1,2024-01-17 03:00:00,15.2,10,,7.0,24498,rain,moderate,VFR
131,1,2024-01-17 06:00:00,16.6,0,,5.1,17108,none,,VFR
132,1,2024-01-17 09:00:00,5.5,0,,17.9,22867,none,,VFR
133,1,2024-01-17 12:00:00,24.2,0,,7.0,9947,none,,VFR
134,1,2024-01-17 15:00:00,17.4,5,20,7.5,23112,none,,VFR
135,1,2024-01-17 18:00:00,17.5,0,11,9.5,28034,none,,VFR
136,1,2024-01-17 21:00:00,2.9,2,,4.8,32744,none,,MVFR
137,1,2024-01-18 00:00:00,10.4,21,,11.9,26643,none,,VFR
138,1,2024-01-18 03:00:00,18.0,19,30,10.2,22732,none,,VFR
139,1,2024-01-18 06:00:00,15.9,24,,4.9,23296,none,,MVFR
140,1,2024-01-18 09:00:00,21.9,3,,4.6,11463,none,,MVFR
141,1,2024-01-18 12:00:00,7.4,3,9,10.1,5484,none,,VFR
142,1,2024-01-18 15:00:00,7.4,19,,10.3,20481,none,,VFR
143,1,2024-01-18 18:00:00,-11.3,0,,11.4,28223,none,,VFR
144,1,2024-01-18 21:00:00,1.8,8,,4.0,22525,rain,moderate,MVFR
145,1,2024-01-19 00:00:00,5.6,2,,4.0,18843,rain,moderate,MVFR
146,1,2024-01-19 03:00:00,14.8,15,,7.2,13733,none,,VFR
147,1,2024-01-19 06:00:00,20.0,3,17,9.9,15453,none,,VFR
148,1,2024-01-19 09:00:00,20.6,14,,13.0,8542,none,,VFR
149,1,2024-01-19 12:00:00,22.0,8,,12.2,31830,none,,VFR
150,1,2024-01-19 15:00:00,21.5,4,,5.1,4352,none,,VFR
151,1,2024-01-19 18:00:00,35.5,12,,10.7,16059,none,,VFR
152,1,2024-01-19 21:00:00,7.3,11,,6.5,4971,none,,VFR
153,1,2024-01-20 00:00:00,18.8,6,10,10.1,6249,rain,moderate,VFR
154,1,2024-01-20 03:00:00,18.8,17,,6.3,17026,none,,VFR
155,1,2024-01-20 06:00:00,1.5,20,,0.3,9505,none,,LIFR
156,1,2024-01-20 09:00:00,15.4,13,,10.8,17244,rain,light,VFR
157,1,2024-01-20 12:00:00,2.1,16,17,9.9,200,none,,LIFR
158,1,2024-01-20 15:00:00,17.8,17,27,10.7,12087,none,,VFR
159,1,2024-01-20 18:00:00,7.9,12,,10.6,4239,none,,VFR
160,1,2024-01-20 21:00:00,11.7,8,13,6.5,12037,none,,VFR
161,1,2024-01-21 00:00:00,17.5,8,,9.6,21915,none,,VFR
162,1,2024-01-21 03:00:00,-3.8,5,,8.4,11841,none,,VFR
163,1,2024-01-21 06:00:00,25.1,15,,7.9,7874,none,,VFR
164,1,2024-01-21 09:00:00,7.8,6,,5.1,13134,none,,VFR
165,1,2024-01-21 12:00:00,6.5,0,4,9.8,14796,rain,heavy,VFR
166,1,2024-01-21 15:00:00,30.5,11,,4.0,15907,none,,MVFR
167,1,2024-01-21 18:00:00,10.5,14,,5.3,12014,rain,heavy,VFR
168,1,2024-01-21 21:00:00,-12.0,9,,6.1,23858,none,,VFR
169,1,2024-01-22 00:00:00,29.7,16,22,10.4,10013,none,,VFR
170,1,2024-01-22 03:00:00,-2.1,17,,6.9,17589,none,,VFR
171,1,2024-01-22 06:00:00,23.9,15,,6.5,13144,none,,VFR
172,1,2024-01-22 09:00:00,19.3,4,,11.3,17348,rain,moderate,VFR
173,1,2024-01-22 12:00:00,14.8,4,4,13.9,13891,none,,VFR
174,1,2024-01-22 15:00:00,5.9,9,,9.9,7902,none,,VFR
175,1,2024-01-22 18:00:00,4.6,0,8,4.9,200,none,,LIFR
176,1,2024-01-22 21:00:00,19.1,5,,5.9,7401,none,,VFR
177,1,2024-01-23 00:00:00,22.3,17,,1.9,10472,none,,IFR
178,1,2024-01-23 03:00:00,15.2,12,,3.8,11745,none,,MVFR
179,1,2024-01-23 06:00:00,-3.4,4,,8.1,3827,none,,VFR
180,1,2024-01-23 09:00:00,19.0,16,,5.4,6787,rain,heavy,VFR
181,1,2024-01-23 12:00:00,0.1,2,,6.4,14697,none,,VFR
182,1,2024-01-23 15:00:00,7.6,9,,9.6,9441,none,,VFR
183,1,2024-01-23 18:00:00,6.4,8,,8.3,19129,none,,VFR
184,1,2024-01-23 21:00:00,10.5,16,,14.5,200,none,,LIFR
185,1,2024-01-24 00:00:00,21.0,13,,7.3,14353,rain,heavy,VFR
186,1,2024-01-24 03:00:00,9.4,6,20,5.7,8755,rain,light,VFR
187,1,2024-01-24 06:00:00,20.1,21,,11.2,19123,none,,VFR
188,1,2024-01-24 09:00:00,13.7,11,,6.9,19220,rain,heavy,VFR
189,1,2024-01-24 12:00:00,34.1,13,,8.5,20927,none,,VFR
190,1,2024-01-24 15:00:00,-7.5,1,,11.4,5914,snow,heavy,VFR
191,1,2024-01-24 18:00:00,7.9,7,,6.5,19752,none,,VFR
192,1,2024-01-24 21:00:00,3.4,21,,10.4,200,none,,LIFR
193,1,2024-01-25 00:00:00,13.2,18,21,6.1,25886,none,,VFR
194,1,2024-01-25 03:00:00,2.6,15,,11.2,19673,none,,VFR
195,1,2024-01-25 06:00:00,17.3,7,,8.8,13155,none,,VFR
196,1,2024-01-25 09:00:00,9.0,16,,13.3,31633,rain,moderate,VFR
197,1,2024-01-25 12:00:00,8.0,20,,4.6,20617,none,,MVFR
198,1,2024-01-25 15:00:00,29.7,12,,6.4,6563,rain,heavy,VFR
199,1,2024-01-25 18:00:00,3.0,12,,9.5,4774,none,,VFR
200,1,2024-01-25 21:00:00,4.2,21,31,7.0,1099,none,,MVFR
201,1,2024-01-26 00:00:00,19.4,15,17,7.0,11368,none,,VFR
202,1,2024-01-26 03:00:00,24.7,12,26,3.4,200,rain,moderate,LIFR
203,1,2024-01-26 06:00:00,12.3,8,,7.7,19212,rain,heavy,VFR
204,1,2024-01-26 09:00:00,-1.2,0,,7.7,200,none,,LIFR
205,1,2024-01-26 12:00:00,7.1,3,,7.4,14031,none,,VFR
206,1,2024-01-26 15:00:00,28.7,12,21,13.3,25106,none,,VFR
207,1,2024-01-26 18:00:00,25.5,16,,4.9,29420,rain,light,MVFR
208,1,2024-01-26 21:00:00,3.0,5,6,4.1,6574,none,,MVFR
209,1,2024-01-27 00:00:00,6.9,5,,5.8,18446,none,,VFR
210,1,2024-01-27 03:00:00,23.2,9,,12.8,12651,none,,VFR
211,1,2024-01-27 06:00:00,10.6,17,,4.1,1143,none,,MVFR
212,1,2024-01-27 09:00:00,27.8,0,,9.3,4568,none,,VFR
213,1,2024-01-27 12:00:00,14.8,13,,6.9,11275,rain,light,VFR
214,1,2024-01-27 15:00:00,20.2,16,29,9.8,14794,none,,VFR
215,1,2024-01-27 18:00:00,3.4,9,13,4.0,22716,rain,light,MVFR
216,1,2024-01-27 21:00:00,-4.1,12,19,6.8,14792,none,,VFR
217,1,2024-01-28 00:00:00,13.0,14,,4.0,7793,none,,MVFR
218,1,2024-01-28 03:00:00,0.9,18,,14.7,10252,rain,moderate,VFR
219,1,2024-01-28 06:00:00,5.1,16,,7.4,18900,none,,VFR
220,1,2024-01-28 09:00:00,16.8,10,,6.5,20179,rain,moderate,VFR
221,1,2024-01-28 12:00:00,10.3,10,20,4.7,14709,none,,MVFR
222,1,2024-01-28 15:00:00,23.7,5,,9.5,19678,none,,VFR
223,1,2024-01-28 18:00:00,22.2,9,,8.5,30837,none,,VFR
224,1,2024-01-28 21:00:00,16.6,10,19,12.7,200,none,,LIFR
225,1,2024-01-29 00:00:00,19.8,4,,8.5,22870,none,,VFR
226,1,2024-01-29 03:00:00,24.7,5,,5.7,12299,rain,moderate,VFR
227,1,2024-01-29 06:00:00,32.1,7,17,6.2,3300,none,,VFR
228,1,2024-01-29 09:00:00,4.7,3,14,3.3,2596,none,,MVFR
229,1,2024-01-29 12:00:00,8.3,11,,11.0,8816,none,,VFR
230,1,2024-01-29 15:00:00,26.0,2,15,8.1,5433,none,,VFR
231,1,2024-01-29 18:00:00,7.1,13,,7.6,22812,none,,VFR
232,1,2024-01-29 21:00:00,17.0,15,21,12.8,16739,rain,light,VFR
233,1,2024-01-30 00:00:00,1.2,20,,5.1,24435,none,,VFR
234,1,2024-01-30 03:00:00,14.6,8,,7.8,7030,rain,moderate,VFR
235,1,2024-01-30 06:00:00,19.0,11,,12.8,11857,none,,VFR
236,1,2024-01-30 09:00:00,14.6,14,,5.4,5990,none,,VFR
237,1,2024-01-30 12:00:00,5.5,18,,6.0,1636,none,,MVFR
238,1,2024-01-30 15:00:00,-8.0,13,,5.6,14935,none,,VFR
239,1,2024-01-30 18:00:00,4.3,5,,12.8,200,none,,LIFR
240,1,2024-01-30 21:00:00,-3.4,0,,12.0,29700,none,,VFR
241,1,2024-01-31 00:00:00,13.3,19,20,13.1,21065,none,,VFR
242,1,2024-01-31 03:00:00,12.2,19,,5.7,27795,none,,VFR
243,1,2024-01-31 06:00:00,13.3,5,9,12.3,19174,none,,VFR
244,1,2024-01-31 09:00:00,11.5,16,,7.6,8991,none,,VFR
245,1,2024-01-31 12:00:00,22.0,2,,12.1,10306,none,,VFR
246,1,2024-01-31 15:00:00,11.8,10,,5.8,8565,none,,VFR
247,1,2024-01-31 18:00:00,19.6,11,,5.8,20666,none,,VFR
248,1,2024-01-31 21:00:00,12.8,11,,8.8,14905,none,,VFR
249,1,2024-02-01 00:00:00,23.0,0,,5.0,13521,none,,VFR
250,1,2024-02-01 03:00:00,7.3,18,,10.7,9157,none,,VFR
251,1,2024-02-01 06:00:00,15.0,6,,6.9,12915,none,,VFR
252,1,2024-02-01 09:00:00,10.7,6,,8.3,200,none,,LIFR
253,1,2024-02-01 12:00:00,15.7,20,24,4.6,9673,none,,MVFR
254,1,2024-02-01 15:00:00,-13.1,4,13,14.2,28583,none,,VFR
255,1,2024-02-01 18:00:00,19.3,8,,7.5,21847,none,,VFR
256,1,2024-02-01 21:00:00,20.1,13,27,5.7,19332,none,,VFR
257,1,2024-02-02 00:00:00,3.1,5,,5.2,13407,none,,VFR
258,1,2024-02-02 03:00:00,1.6,15,,10.9,17811,none,,VFR
259,1,2024-02-02 06:00:00,15.8,4,11,9.4,8119,none,,VFR
260,1,2024-02-02 09:00:00,12.9,6,17,2.8,200,none,,LIFR
261,1,2024-02-02 12:00:00,14.6,4,,6.7,19748,none,,VFR
262,1,2024-02-02 15:00:00,-13.0,11,,4.3,7891,none,,MVFR
263,1,2024-02-02 18:00:00,27.9,12,14,8.4,13656,rain,moderate,VFR
264,1,2024-02-02 21:00:00,9.0,11,17,9.5,28671,rain,moderate,VFR
265,1,2024-02-03 00:00:00,18.6,12,15,11.2,14496,none,,VFR
266,1,2024-02-03 03:00:00,-6.1,4,18,4.0,17242,none,,MVFR
267,1,2024-02-03 06:00:00,7.9,4,,4.5,20368,rain,heavy,MVFR
268,1,2024-02-03 09:00:00,7.8,4,17,9.8,17973,rain,heavy,VFR
269,1,2024-02-03 12:00:00,0.3,3,12,9.0,9231,none,,VFR
270,1,2024-02-03 15:00:00,20.4,18,23,8.2,16783,none,,VFR
271,1,2024-02-03 18:00:00,0.9,17,,6.2,11709,rain,moderate,VFR
272,1,2024-02-03 21:00:00,35.9,10,15,7.2,23654,none,,VFR
273,1,2024-02-04 00:00:00,20.0,6,14,2.4,4332,none,,IFR
274,1,2024-02-04 03:00:00,5.2,11,,10.8,18000,none,,VFR
275,1,2024-02-04 06:00:00,5.1,12,,12.2,17643,none,,VFR
276,1,2024-02-04 09:00:00,9.5,4,6,11.6,9216,none,,VFR
277,1,2024-02-04 12:00:00,27.5,13,,3.0,12073,none,,MVFR
278,1,2024-02-04 15:00:00,19.6,17,,9.8,13843,none,,VFR
279,1,2024-02-04 18:00:00,25.2,16,,6.7,11732,none,,VFR
280,1,2024-02-04 21:00:00,17.3,12,,6.5,5473,none,,VFR
281,1,2024-02-05 00:00:00,16.3,16,,7.2,16612,none,,VFR
282,1,2024-02-05 03:00:00,20.5,1,7,9.5,200,none,,LIFR
283,1,2024-02-05 06:00:00,-2.1,0,1,2.6,32022,none,,IFR
284,1,2024-02-05 09:00:00,7.7,0,,8.2,26918,rain,moderate,VFR
285,1,2024-02-05 12:00:00,6.1,5,,10.0,22681,none,,VFR
286,1,2024-02-05 15:00:00,21.1,9,18,7.0,13281,rain,heavy,VFR
287,1,2024-02-05 18:00:00,8.0,0,,5.6,20992,none,,VFR
288,1,2024-02-05 21:00:00,5.5,14,,12.8,10340,rain,heavy,VFR
289,1,2024-02-06 00:00:00,18.9,8,,5.9,8500,rain,light,VFR
290,1,2024-02-06 03:00:00,6.9,5,,2.9,12573,none,,IFR
291,1,2024-02-06 06:00:00,-4.9,14,,10.3,19530,none,,VFR
292,1,2024-02-06 09:00:00,8.3,22,,7.7,17637,none,,VFR
293,1,2024-02-06 12:00:00,30.2,19,,11.1,17646,rain,heavy,VFR
294,1,2024-02-06 15:00:00,20.4,14,28,10.9,18643,none,,VFR
295,1,2024-02-06 18:00:00,8.2,16,,4.8,20067,none,,MVFR
296,1,2024-02-06 21:00:00,17.5,5,,6.4,12345,none,,VFR
297,1,2024-02-07 00:00:00,21.8,7,,6.9,21960,none,,VFR
298,1,2024-02-07 03:00:00,21.3,7,,10.5,22340,none,,VFR
299,1,2024-02-07 06:00:00,0.8,8,,5.9,22057,none,,VFR
300,1,2024-02-07 09:00:00,14.0,6,,7.8,13394,none,,VFR
301,1,2024-02-07 12:00:00,22.5,2,,11.1,12868,none,,VFR
302,1,2024-02-07 15:00:00,16.6,13,,3.9,6693,rain,moderate,MVFR
303,1,2024-02-07 18:00:00,19.9,8,12,4.9,15352,rain,light,MVFR
304,1,2024-02-07 21:00:00,33.4,11,18,16.2,13034,none,,VFR
305,1,2024-02-08 00:00:00,15.0,2,,6.1,15742,none,,VFR
306,1,2024-02-08 03:00:00,12.6,0,0,3.0,13297,rain,heavy,MVFR
307,1,2024-02-08 06:00:00,26.5,10,16,3.9,16907,none,,MVFR
308,1,2024-02-08 09:00:00,33.0,6,,7.9,11023,none,,VFR
309,1,2024-02-08 12:00:00,11.7,13,,7.9,204,none,,LIFR
310,1,2024-02-08 15:00:00,22.8,14,18,9.6,12576,none,,VFR
311,1,2024-02-08 18:00:00,6.7,9,,4.8,14301,none,,MVFR
312,1,2024-02-08 21:00:00,13.4,11,22,13.2,25032,none,,VFR
313,1,2024-02-09 00:00:00,-0.9,23,,4.8,17529,none,,MVFR
314,1,2024-02-09 03:00:00,12.5,14,,6.6,18057,rain,heavy,VFR
315,1,2024-02-09 06:00:00,35.4,16,,5.3,29058,none,,VFR
316,1,2024-02-09 09:00:00,7.8,8,18,3.3,9265,none,,MVFR
317,1,2024-02-09 12:00:00,33.0,15,24,7.3,20610,rain,light,VFR
318,1,2024-02-09 15:00:00,14.6,15,26,4.4,21969,none,,MVFR
319,1,2024-02-09 18:00:00,18.8,17,21,7.5,29164,rain,heavy,VFR
320,1,2024-02-09 21:00:00,27.6,13,26,9.5,12060,rain,light,VFR
321,1,2024-02-10 00:00:00,18.1,2,,5.5,27657,none,,VFR
322,1,2024-02-10 03:00:00,1.1,13,,8.0,24272,rain,light,VFR
323,1,2024-02-10 06:00:00,0.5,14,,3.8,11703,none,,MVFR
324,1,2024-02-10 09:00:00,10.6,7,,10.4,25509,none,,VFR
325,1,2024-02-10 12:00:00,12.4,4,19,9.3,5197,none,,VFR
326,1,2024-02-10 15:00:00,1.9,11,,9.3,19328,none,,VFR
327,1,2024-02-10 18:00:00,24.3,10,,10.3,16788,none,,VFR
328,1,2024-02-10 21:00:00,16.8,16,,13.0,24448,rain,light,VFR
329,1,2024-02-11 00:00:00,15.8,8,15,12.0,17355,none,,VFR
330,1,2024-02-11 03:00:00,-9.2,9,16,6.0,19658,none,,VFR
331,1,2024-02-11 06:00:00,9.3,10,20,12.6,9511,none,,VFR
332,1,2024-02-11 09:00:00,6.6,11,19,5.0,13917,none,,VFR
333,1,2024-02-11 12:00:00,9.9,7,,8.5,11948,rain,light,VFR
334,1,2024-02-11 15:00:00,21.2,0,14,2.1,30113,fog,moderate,IFR
335,1,2024-02-11 18:00:00,-10.1,7,,2.8,25097,ice,heavy,IFR
336,1,2024-02-11 21:00:00,16.5,12,,4.8,200,rain,heavy,LIFR
337,1,2024-02-12 00:00:00,18.2,11,,11.4,28595,none,,VFR
338,1,2024-02-12 03:00:00,27.7,10,22,1.9,6266,none,,IFR
339,1,2024-02-12 06:00:00,33.8,13,,8.1,12165,rain,heavy,VFR
340,1,2024-02-12 09:00:00,5.4,13,22,8.6,6872,none,,VFR
341,1,2024-02-12 12:00:00,14.4,9,,7.6,13853,none,,VFR
342,1,2024-02-12 15:00:00,14.1,23,,6.5,11864,none,,VFR
343,1,2024-02-12 18:00:00,10.9,9,,9.0,16153,none,,VFR
344,1,2024-02-12 21:00:00,11.3,5,19,6.1,15574,none,,VFR
345,1,2024-02-13 00:00:00,19.3,9,9,7.2,20704,none,,VFR
346,1,2024-02-13 03:00:00,9.2,2,,10.4,29722,none,,VFR
347,1,2024-02-13 06:00:00,6.4,3,,7.3,26874,none,,VFR
348,1,2024-02-13 09:00:00,15.2,0,,8.4,20366,none,,VFR
349,1,2024-02-13 12:00:00,8.5,12,,10.5,24708,none,,VFR
350,1,2024-02-13 15:00:00,10.2,5,11,8.4,200,none,,LIFR
351,1,2024-02-13 18:00:00,11.1,6,,10.5,5512,none,,VFR
352,1,2024-02-13 21:00:00,16.7,9,10,8.4,20976,rain,light,VFR
353,1,2024-02-14 00:00:00,13.2,18,24,5.2,15964,none,,VFR
