flight_id,mission_id,aircraft_id,pic_crew_id,origin_base_id,dest_base_id,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,flight_hours,fuel_burn_lbs,status,delay_minutes,delay_reason
24,21,43,83,5,5,2024-01-01 11:46:00,2024-01-01 11:46:00,2024-01-01 14:53:47,2024-01-01 14:53:47,3.1,9082.0,completed,0,
25,22,7,80,5,2,2024-01-01 05:49:00,2024-01-01 05:49:00,2024-01-01 14:58:36,2024-01-01 14:58:36,9.2,12878.0,completed,0,
26,22,7,25,2,5,2024-01-01 16:10:52,2024-01-01 16:10:52,2024-01-02 01:43:17,2024-01-02 01:43:17,9.5,16235.0,completed,0,
27,23,43,80,5,5,2024-01-01 20:20:00,2024-01-01 20:20:00,2024-01-02 03:37:59,2024-01-02 03:37:59,7.3,14237.0,completed,0,
28,24,7,81,5,6,2024-01-01 09:29:00,2024-01-01 09:59:00,2024-01-01 14:59:35,2024-01-01 15:29:35,5.5,7314.0,completed,30,maintenance
29,24,7,102,6,5,2024-01-01 20:00:30,2024-01-01 22:00:30,2024-01-02 01:45:01,2024-01-02 03:45:01,5.7,19696.0,completed,120,maintenance
30,25,44,92,5,1,2024-01-01 14:37:00,2024-01-01 14:37:00,2024-01-01 23:44:10,2024-01-01 23:44:10,9.1,26266.0,completed,0,
31,25,44,4,1,5,2024-01-02 05:35:48,2024-01-02 05:35:48,2024-01-02 14:13:12,2024-01-02 14:13:12,8.6,31618.0,completed,0,
32,26,45,78,5,5,2024-01-01 16:09:00,2024-01-01 16:09:00,2024-01-01 21:45:18,2024-01-01 21:45:18,5.6,18405.0,completed,0,
33,27,15,87,5,1,2024-01-01 01:15:00,2024-01-01 01:15:00,2024-01-01 04:24:54,2024-01-01 04:24:54,3.2,6211.0,completed,0,
34,28,23,114,6,3,2024-01-01 21:38:00,2024-01-01 21:38:00,2024-01-02 04:18:59,2024-01-02 04:18:59,6.7,10426.0,completed,0,
35,28,23,40,3,6,2024-01-02 07:01:34,2024-01-02 07:01:34,2024-01-02 13:02:18,2024-01-02 13:02:18,6.0,23752.0,completed,0,
36,30,25,95,6,1,2024-01-01 20:50:00,2024-01-01 21:20:00,2024-01-02 05:28:25,2024-01-02 05:58:25,8.6,11524.0,completed,30,maintenance
37,30,25,2,1,6,2024-01-02 08:23:22,2024-01-02 08:23:22,2024-01-02 18:10:03,2024-01-02 18:10:03,9.8,15871.0,completed,0,
38,32,29,102,6,1,2024-01-01 23:56:00,2024-01-02 00:11:00,2024-01-02 08:30:34,2024-01-02 08:45:34,8.6,21749.0,completed,15,weather
39,33,8,116,6,2,2024-01-01 23:28:00,2024-01-01 23:28:00,2024-01-02 05:59:06,2024-01-02 05:59:06,6.5,20688.0,completed,0,
40,34,11,108,6,4,2024-01-01 09:51:00,2024-01-01 09:51:00,2024-01-01 18:22:56,2024-01-01 18:22:56,8.5,7134.0,completed,0,
41,35,25,114,6,4,2024-01-01 05:52:00,2024-01-01 06:22:00,2024-01-01 12:55:50,2024-01-01 13:25:50,7.1,17639.0,completed,30,crew
42,36,41,3,1,2,2024-01-02 03:18:00,2024-01-02 03:18:00,2024-01-02 13:04:23,2024-01-02 13:04:23,9.8,21326.0,completed,0,
43,36,41,25,2,1,2024-01-02 15:41:45,2024-01-02 15:41:45,2024-01-03 01:59:07,2024-01-03 01:59:07,10.3,21103.0,completed,0,
44,37,20,7,1,3,2024-01-02 00:26:00,2024-01-02 00:26:00,2024-01-02 03:07:18,2024-01-02 03:07:18,2.7,8165.0,completed,0,
45,37,20,46,3,1,2024-01-02 07:48:48,2024-01-02 07:48:48,2024-01-02 10:50:50,2024-01-02 10:50:50,3.0,4686.0,completed,0,
46,38,5,3,1,2,2024-01-02 22:41:00,2024-01-02 22:41:00,2024-01-03 08:17:53,2024-01-03 08:17:53,9.6,11680.0,completed,0,
47,38,5,35,2,1,2024-01-03 12:02:48,2024-01-03 12:02:48,2024-01-03 20:59:54,2024-01-03 20:59:54,9.0,7522.0,completed,0,
48,39,22,13,1,3,2024-01-02 14:39:00,2024-01-02 14:39:00,2024-01-02 20:41:02,2024-01-02 20:41:02,6.0,6525.0,completed,0,
49,40,5,10,1,6,2024-01-02 09:15:00,2024-01-02 09:15:00,2024-01-02 13:33:41,2024-01-02 13:33:41,4.3,6363.0,completed,0,
50,41,5,1,1,5,2024-01-02 20:32:00,2024-01-02 21:02:00,2024-01-02 23:06:27,2024-01-02 23:36:27,2.6,5556.0,completed,30,crew
51,41,5,78,5,1,2024-01-03 02:17:53,2024-01-03 02:17:53,2024-01-03 04:43:15,2024-01-03 04:43:15,2.4,6517.0,completed,0,
52,42,10,17,1,1,2024-01-02 21:42:00,2024-01-02 21:57:00,2024-01-03 02:04:44,2024-01-03 02:19:44,4.4,17321.0,completed,15,airspace
53,43,41,11,1,1,2024-01-02 17:01:00,2024-01-02 17:01:00,2024-01-02 22:17:18,2024-01-02 22:17:18,5.3,8007.0,completed,0,
54,44,40,19,2,4,2024-01-02 02:22:00,2024-01-02 02:22:00,2024-01-02 05:40:16,2024-01-02 05:40:16,3.3,2684.0,completed,0,
55,45,42,29,2,6,2024-01-02 05:53:00,2024-01-02 05:53:00,2024-01-02 12:39:30,2024-01-02 12:39:30,6.8,9121.0,completed,0,
56,47,40,26,2,2,2024-01-02 08:02:00,2024-01-02 08:02:00,2024-01-02 13:25:14,2024-01-02 13:25:14,5.4,12900.0,completed,0,
57,48,36,46,3,4,2024-01-02 23:28:00,2024-01-02 23:28:00,2024-01-03 05:34:59,2024-01-03 05:34:59,6.1,9915.0,completed,0,
58,50,34,46,3,3,2024-01-02 21:18:00,2024-01-02 21:18:00,2024-01-03 03:36:23,2024-01-03 03:36:23,6.3,12669.0,completed,0,
59,51,34,44,3,4,2024-01-02 19:27:00,2024-01-02 19:27:00,2024-01-02 21:16:25,2024-01-02 21:16:25,1.8,3607.0,completed,0,
60,52,19,41,3,5,2024-01-02 00:09:00,2024-01-02 00:09:00,2024-01-02 05:59:32,2024-01-02 05:59:32,5.8,12337.0,completed,0,
61,53,2,46,3,4,2024-01-02 19:09:00,2024-01-02 19:09:00,2024-01-02 20:57:22,2024-01-02 20:57:22,1.8,5821.0,completed,0,
62,54,35,73,4,4,2024-01-02 20:17:00,2024-01-02 20:17:00,2024-01-03 03:17:03,2024-01-03 03:17:03,7.0,22025.0,completed,0,
63,55,9,65,4,5,2024-01-02 08:49:00,2024-01-02 08:49:00,2024-01-02 15:17:07,2024-01-02 15:17:07,6.5,8587.0,completed,0,
64,56,39,55,4,2,2024-01-02 05:57:00,2024-01-02 05:57:00,2024-01-02 11:59:40,2024-01-02 11:59:40,6.0,10991.0,completed,0,
65,56,39,35,2,4,2024-01-02 13:18:45,2024-01-02 13:18:45,2024-01-02 18:29:41,2024-01-02 18:29:41,5.2,8798.0,completed,0,
66,57,35,69,4,6,2024-01-02 05:45:00,2024-01-02 05:45:00,2024-01-02 14:49:48,2024-01-02 14:49:48,9.1,21914.0,completed,0,
67,58,9,59,4,2,2024-01-02 11:35:00,2024-01-02 11:35:00,2024-01-02 16:48:03,2024-01-02 16:48:03,5.2,19160.0,completed,0,
68,59,44,80,5,4,2024-01-02 18:04:00,2024-01-02 18:04:00,2024-01-03 01:49:25,2024-01-03 01:49:25,7.8,24778.0,completed,0,
69,60,15,78,5,3,2024-01-02 04:27:00,2024-01-02 04:27:00,2024-01-02 09:33:07,2024-01-02 09:33:07,5.1,7534.0,completed,0,
70,60,15,46,3,5,2024-01-02 14:41:12,2024-01-02 14:41:12,2024-01-02 20:24:16,2024-01-02 20:24:16,5.7,14316.0,completed,0,
71,61,43,81,5,5,2024-01-02 22:14:00,2024-01-02 22:14:00,2024-01-03 02:41:26,2024-01-03 02:41:26,4.5,13814.0,completed,0,
72,62,37,78,5,3,2024-01-02 04:40:00,2024-01-02 04:40:00,2024-01-02 10:26:43,2024-01-02 10:26:43,5.8,9670.0,completed,0,
73,64,44,78,5,5,2024-01-02 19:40:00,2024-01-02 19:40:00,2024-01-02 23:24:07,2024-01-02 23:24:07,3.7,7943.0,completed,0,
74,65,25,116,6,3,2024-01-02 09:29:00,2024-01-02 09:29:00,2024-01-02 12:37:14,2024-01-02 12:37:14,3.1,4763.0,completed,0,
75,65,25,38,3,6,2024-01-02 16:33:04,2024-01-02 16:33:04,2024-01-02 19:49:46,2024-01-02 19:49:46,3.3,6736.0,completed,0,
76,66,23,96,6,3,2024-01-02 22:20:00,2024-01-02 22:20:00,2024-01-03 00:04:26,2024-01-03 00:04:26,1.7,5876.0,completed,0,
77,67,27,95,6,6,2024-01-02 03:17:00,2024-01-02 03:17:00,2024-01-02 12:35:57,2024-01-02 12:35:57,9.3,36331.0,completed,0,
78,68,8,116,6,5,2024-01-02 10:59:00,2024-01-02 11:29:00,2024-01-02 15:03:54,2024-01-02 15:33:54,4.1,10985.0,completed,30,maintenance
79,69,16,94,6,4,2024-01-02 15:01:00,2024-01-02 15:01:00,2024-01-02 20:24:57,2024-01-02 20:24:57,5.4,10493.0,completed,0,
80,70,27,115,6,1,2024-01-02 19:56:00,2024-01-02 19:56:00,2024-01-02 21:13:54,2024-01-02 21:13:54,1.3,2770.0,completed,0,
81,71,25,95,6,3,2024-01-02 11:02:00,2024-01-02 11:02:00,2024-01-02 18:23:05,2024-01-02 18:23:05,7.4,19603.0,completed,0,
82,72,41,15,1,1,2024-01-03 21:39:00,2024-01-03 21:39:00,2024-01-04 01:51:53,2024-01-04 01:51:53,4.2,12824.0,completed,0,
83,73,20,4,1,4,2024-01-03 04:12:00,2024-01-03 04:12:00,2024-01-03 07:13:11,2024-01-03 07:13:11,3.0,9385.0,completed,0,
84,73,20,65,4,1,2024-01-03 09:18:07,2024-01-03 09:18:07,2024-01-03 12:17:48,2024-01-03 12:17:48,3.0,6516.0,completed,0,
85,74,41,2,1,4,2024-01-03 14:09:00,2024-01-03 14:09:00,2024-01-03 21:01:07,2024-01-03 21:01:07,6.9,25031.0,completed,0,
86,74,41,73,4,1,2024-01-03 23:00:40,2024-01-03 23:15:40,2024-01-04 06:48:10,2024-01-04 07:03:10,7.8,18877.0,completed,15,crew
87,75,20,6,1,6,2024-01-03 18:21:00,2024-01-03 18:21:00,2024-01-03 19:45:05,2024-01-03 19:45:05,1.4,4692.0,completed,0,
88,75,20,102,6,1,2024-01-03 22:04:23,2024-01-03 22:04:23,2024-01-03 23:21:25,2024-01-03 23:21:25,1.3,4173.0,completed,0,
89,76,5,6,1,4,2024-01-03 13:37:00,2024-01-03 17:37:00,2024-01-03 20:24:24,2024-01-04 00:24:24,6.8,10700.0,completed,240,airspace
90,76,5,62,4,1,2024-01-04 02:58:55,2024-01-04 03:28:55,2024-01-04 10:44:24,2024-01-04 11:14:24,7.8,16019.0,completed,30,crew
91,77,41,16,1,1,2024-01-03 18:14:00,2024-01-03 18:14:00,2024-01-04 03:45:25,2024-01-04 03:45:25,9.5,35253.0,completed,0,
92,78,42,20,2,2,2024-01-03 07:02:00,2024-01-03 07:02:00,2024-01-03 11:09:08,2024-01-03 11:09:08,4.1,15557.0,completed,0,
93,82,34,53,3,5,2024-01-03 17:59:00,2024-01-03 18:29:00,2024-01-03 19:31:26,2024-01-03 20:01:26,1.5,3058.0,completed,30,weather
94,83,35,60,4,2,2024-01-03 22:05:00,2024-01-04 00:05:00,2024-01-04 06:58:13,2024-01-04 08:58:13,8.9,18868.0,completed,120,weather
95,83,35,26,2,4,2024-01-04 13:01:22,2024-01-04 13:01:22,2024-01-04 21:10:46,2024-01-04 21:10:46,8.2,22042.0,completed,0,
96,84,35,69,4,6,2024-01-03 04:06:00,2024-01-03 04:06:00,2024-01-03 11:50:25,2024-01-03 11:50:25,7.7,11789.0,completed,0,
97,85,9,73,4,4,2024-01-03 13:21:00,2024-01-03 13:21:00,2024-01-03 20:46:45,2024-01-03 20:46:45,7.4,6509.0,completed,0,
98,86,39,69,4,2,2024-01-03 15:41:00,2024-01-03 15:41:00,2024-01-03 23:44:55,2024-01-03 23:44:55,8.1,6658.0,completed,0,
99,87,4,78,5,5,2024-01-03 05:26:00,2024-01-03 05:26:00,2024-01-03 09:04:47,2024-01-03 09:04:47,3.6,7829.0,completed,0,
100,88,37,87,5,2,2024-01-03 01:00:00,2024-01-03 01:00:00,2024-01-03 03:51:54,2024-01-03 03:51:54,2.9,7290.0,completed,0,
101,88,37,30,2,5,2024-01-03 08:46:54,2024-01-03 08:46:54,2024-01-03 11:36:18,2024-01-03 11:36:18,2.8,8362.0,completed,0,
102,89,15,87,5,6,2024-01-03 16:29:00,2024-01-03 16:29:00,2024-01-04 01:49:50,2024-01-04 01:49:50,9.3,8038.0,completed,0,
103,91,44,78,5,5,2024-01-03 16:20:00,2024-01-03 16:20:00,2024-01-04 01:17:27,2024-01-04 01:17:27,9.0,13658.0,completed,0,
104,94,37,88,5,6,2024-01-03 22:07:00,2024-01-03 22:07:00,2024-01-04 05:03:59,2024-01-04 05:03:59,6.9,24579.0,completed,0,
105,94,37,116,6,5,2024-01-04 07:33:21,2024-01-04 07:33:21,2024-01-04 15:01:34,2024-01-04 15:01:34,7.5,21441.0,completed,0,
106,95,45,83,5,6,2024-01-03 17:51:00,2024-01-03 17:51:00,2024-01-04 01:24:16,2024-01-04 01:24:16,7.6,8169.0,completed,0,
107,95,45,94,6,5,2024-01-04 03:51:23,2024-01-04 03:51:23,2024-01-04 12:24:17,2024-01-04 12:24:17,8.5,16874.0,completed,0,
108,97,29,95,6,2,2024-01-03 14:07:00,2024-01-03 14:07:00,2024-01-03 17:49:15,2024-01-03 17:49:15,3.7,13859.0,completed,0,
109,98,1,115,6,5,2024-01-03 17:29:00,2024-01-03 17:44:00,2024-01-03 23:50:54,2024-01-04 00:05:54,6.4,19529.0,completed,15,airspace
110,98,1,75,5,6,2024-01-04 03:36:26,2024-01-04 03:51:26,2024-01-04 10:07:57,2024-01-04 10:22:57,6.5,17876.0,completed,15,airspace
111,99,3,97,6,1,2024-01-03 17:03:00,2024-01-03 17:03:00,2024-01-03 18:18:28,2024-01-03 18:18:28,1.3,1568.0,completed,0,
112,101,23,115,6,5,2024-01-03 03:11:00,2024-01-03 03:11:00,2024-01-03 12:43:11,2024-01-03 12:43:11,9.5,10464.0,completed,0,
113,102,29,116,6,3,2024-01-03 13:34:00,2024-01-03 13:34:00,2024-01-03 21:44:58,2024-01-03 21:44:58,8.2,21637.0,completed,0,
114,104,48,7,1,1,2024-01-04 01:15:00,2024-01-04 01:15:00,2024-01-04 11:13:02,2024-01-04 11:13:02,10.0,25493.0,completed,0,
115,105,20,7,1,2,2024-01-04 07:52:00,2024-01-04 07:52:00,2024-01-04 17:18:29,2024-01-04 17:18:29,9.4,34267.0,completed,0,
116,105,20,25,2,1,2024-01-04 22:09:27,2024-01-04 22:09:27,2024-01-05 06:18:38,2024-01-05 06:18:38,8.2,10618.0,completed,0,
117,106,41,13,1,3,2024-01-04 07:26:00,2024-01-04 07:41:00,2024-01-04 13:15:47,2024-01-04 13:30:47,5.8,16151.0,completed,15,weather
118,107,48,17,1,2,2024-01-04 21:24:00,2024-01-04 21:24:00,2024-01-05 02:53:54,2024-01-05 02:53:54,5.5,17948.0,completed,0,
119,107,48,19,2,1,2024-01-05 05:40:06,2024-01-05 05:40:06,2024-01-05 11:55:11,2024-01-05 11:55:11,6.3,19702.0,completed,0,
120,109,20,13,1,3,2024-01-04 06:21:00,2024-01-04 06:21:00,2024-01-04 08:36:03,2024-01-04 08:36:03,2.3,5445.0,completed,0,
121,109,20,54,3,1,2024-01-04 11:32:57,2024-01-04 11:32:57,2024-01-04 13:53:56,2024-01-04 13:53:56,2.3,5569.0,completed,0,
122,110,40,26,2,2,2024-01-04 12:43:00,2024-01-04 13:13:00,2024-01-04 15:53:17,2024-01-04 16:23:17,3.2,12344.0,completed,30,maintenance
123,111,42,33,2,6,2024-01-04 06:30:00,2024-01-04 06:30:00,2024-01-04 12:57:39,2024-01-04 12:57:39,6.5,12807.0,completed,0,
124,111,42,116,6,2,2024-01-04 18:28:06,2024-01-04 18:28:06,2024-01-05 01:39:47,2024-01-05 01:39:47,7.2,8110.0,completed,0,
125,112,40,21,2,1,2024-01-04 07:44:00,2024-01-04 07:44:00,2024-01-04 17:19:50,2024-01-04 17:19:50,9.6,22132.0,completed,0,
126,113,40,29,2,2,2024-01-04 17:41:00,2024-01-04 17:41:00,2024-01-05 02:56:43,2024-01-05 02:56:43,9.3,15662.0,completed,0,
127,114,34,47,3,4,2024-01-04 10:26:00,2024-01-04 10:26:00,2024-01-04 17:53:16,2024-01-04 17:53:16,7.5,18481.0,completed,0,
128,115,36,52,3,6,2024-01-04 09:09:00,2024-01-04 09:09:00,2024-01-04 15:17:09,2024-01-04 15:17:09,6.1,22591.0,completed,0,
129,116,47,53,3,4,2024-01-04 23:41:00,2024-01-04 23:41:00,2024-01-05 06:08:37,2024-01-05 06:08:37,6.5,24831.0,completed,0,
130,117,2,41,3,6,2024-01-04 16:02:00,2024-01-04 16:32:00,2024-01-05 01:51:52,2024-01-05 02:21:52,9.8,9530.0,completed,30,weather
131,117,2,115,6,3,2024-01-05 06:57:48,2024-01-05 06:57:48,2024-01-05 15:22:30,2024-01-05 15:22:30,8.4,18437.0,completed,0,
132,118,19,52,3,2,2024-01-04 00:13:00,2024-01-04 00:13:00,2024-01-04 09:42:40,2024-01-04 09:42:40,9.5,28874.0,completed,0,
133,119,9,67,4,6,2024-01-04 00:33:00,2024-01-04 00:33:00,2024-01-04 03:17:50,2024-01-04 03:17:50,2.7,7007.0,completed,0,
134,120,17,67,4,1,2024-01-04 06:39:00,2024-01-04 06:54:00,2024-01-04 15:38:39,2024-01-04 15:53:39,9.0,35564.0,diverted,15,weather
135,121,17,66,4,5,2024-01-04 22:14:00,2024-01-04 22:14:00,2024-01-05 04:54:28,2024-01-05 04:54:28,6.7,15055.0,completed,0,
136,121,17,88,5,4,2024-01-05 06:24:42,2024-01-05 06:24:42,2024-01-05 12:25:15,2024-01-05 12:25:15,6.0,22379.0,completed,0,
137,122,39,60,4,5,2024-01-04 01:40:00,2024-01-04 01:40:00,2024-01-04 11:08:22,2024-01-04 11:08:22,9.5,33258.0,completed,0,
138,123,45,88,5,1,2024-01-04 08:02:00,2024-01-04 08:17:00,2024-01-04 15:10:47,2024-01-04 15:25:47,7.1,19309.0,completed,15,weather
139,125,44,78,5,6,2024-01-04 21:57:00,2024-01-04 22:27:00,2024-01-05 04:45:37,2024-01-05 05:15:37,6.8,20734.0,completed,30,crew
140,125,44,95,6,5,2024-01-05 06:57:26,2024-01-05 06:57:26,2024-01-05 13:24:43,2024-01-05 13:24:43,6.5,13990.0,completed,0,
141,126,44,83,5,3,2024-01-04 07:53:00,2024-01-04 07:53:00,2024-01-04 09:54:54,2024-01-04 09:54:54,2.0,5513.0,completed,0,
142,128,7,80,5,6,2024-01-04 19:18:00,2024-01-04 19:18:00,2024-01-04 21:10:20,2024-01-04 21:10:20,1.9,4257.0,completed,0,
143,128,7,95,6,5,2024-01-05 03:02:55,2024-01-05 03:02:55,2024-01-05 04:42:32,2024-01-05 04:42:32,1.7,6195.0,completed,0,
144,129,23,116,6,2,2024-01-04 11:06:00,2024-01-04 11:06:00,2024-01-04 16:13:12,2024-01-04 16:13:12,5.1,9111.0,completed,0,
145,130,27,101,6,1,2024-01-04 17:35:00,2024-01-04 17:35:00,2024-01-05 01:23:17,2024-01-05 01:23:17,7.8,25320.0,completed,0,
146,131,23,95,6,6,2024-01-04 12:00:00,2024-01-04 12:00:00,2024-01-04 16:35:46,2024-01-04 16:35:46,4.6,10479.0,completed,0,
147,132,29,97,6,6,2024-01-04 05:43:00,2024-01-04 05:43:00,2024-01-04 08:54:24,2024-01-04 08:54:24,3.2,10063.0,completed,0,
148,133,16,108,6,1,2024-01-04 13:19:00,2024-01-04 13:19:00,2024-01-04 18:59:18,2024-01-04 18:59:18,5.7,17423.0,completed,0,
149,134,8,101,6,2,2024-01-04 09:00:00,2024-01-04 09:00:00,2024-01-04 12:47:56,2024-01-04 12:47:56,3.8,14803.0,completed,0,
150,135,48,12,1,1,2024-01-05 06:30:00,2024-01-05 07:00:00,2024-01-05 15:50:18,2024-01-05 16:20:18,9.3,15961.0,completed,30,crew
151,136,10,15,1,5,2024-01-05 10:24:00,2024-01-05 10:24:00,2024-01-05 15:41:09,2024-01-05 15:41:09,5.3,11419.0,completed,0,
152,137,10,4,1,1,2024-01-05 21:49:00,2024-01-05 21:49:00,2024-01-06 02:23:00,2024-01-06 02:23:00,4.6,14937.0,completed,0,
153,138,5,1,1,4,2024-01-05 13:43:00,2024-01-05 13:43:00,2024-01-05 17:39:57,2024-01-05 17:39:57,3.9,4578.0,completed,0,
154,140,42,26,2,2,2024-01-05 17:38:00,2024-01-05 17:38:00,2024-01-05 18:54:26,2024-01-05 18:54:26,1.3,3123.0,completed,0,
155,142,42,19,2,4,2024-01-05 16:35:00,2024-01-05 16:35:00,2024-01-06 00:03:58,2024-01-06 00:03:58,7.5,25474.0,completed,0,
156,143,6,21,2,6,2024-01-05 11:01:00,2024-01-05 11:01:00,2024-01-05 13:49:25,2024-01-05 13:49:25,2.8,5326.0,completed,0,
157,144,24,49,3,4,2024-01-05 16:30:00,2024-01-05 17:00:00,2024-01-05 17:56:58,2024-01-05 18:26:58,1.4,3889.0,completed,30,airspace
158,144,24,66,4,3,2024-01-05 22:34:18,2024-01-06 00:34:18,2024-01-05 23:49:41,2024-01-06 01:49:41,1.3,1978.0,completed,120,airspace
159,145,13,40,3,1,2024-01-05 00:54:00,2024-01-05 00:54:00,2024-01-05 05:27:03,2024-01-05 05:27:03,4.6,18097.0,completed,0,
160,146,36,53,3,6,2024-01-05 14:14:00,2024-01-05 14:14:00,2024-01-05 22:00:21,2024-01-05 22:00:21,7.8,21778.0,completed,0,
161,147,47,37,3,6,2024-01-05 18:27:00,2024-01-05 18:27:00,2024-01-06 01:23:25,2024-01-06 01:23:25,6.9,14057.0,completed,0,
162,147,47,95,6,3,2024-01-06 03:46:46,2024-01-06 04:01:46,2024-01-06 10:02:29,2024-01-06 10:17:29,6.3,12561.0,completed,15,weather
163,148,34,39,3,6,2024-01-05 06:29:00,2024-01-05 06:29:00,2024-01-05 11:52:57,2024-01-05 11:52:57,5.4,8426.0,completed,0,
164,148,34,114,6,3,2024-01-05 16:09:43,2024-01-05 16:09:43,2024-01-05 20:55:09,2024-01-05 20:55:09,4.8,8411.0,completed,0,
165,149,13,54,3,6,2024-01-05 11:22:00,2024-01-05 11:22:00,2024-01-05 20:52:24,2024-01-05 20:52:24,9.5,9531.0,completed,0,
166,150,34,40,3,3,2024-01-05 03:15:00,2024-01-05 03:15:00,2024-01-05 08:33:02,2024-01-05 08:33:02,5.3,20359.0,completed,0,
167,151,39,67,4,5,2024-01-05 13:11:00,2024-01-05 13:11:00,2024-01-05 14:38:05,2024-01-05 14:38:05,1.5,1441.0,completed,0,
168,151,39,81,5,4,2024-01-05 20:32:11,2024-01-05 20:32:11,2024-01-05 21:52:36,2024-01-05 21:52:36,1.3,3037.0,completed,0,
169,152,17,70,4,4,2024-01-05 10:53:00,2024-01-05 10:53:00,2024-01-05 15:24:17,2024-01-05 15:24:17,4.5,16363.0,completed,0,
170,153,39,55,4,2,2024-01-05 13:43:00,2024-01-05 13:58:00,2024-01-05 20:19:53,2024-01-05 20:34:53,6.6,8447.0,diverted,15,weather
171,154,35,67,4,2,2024-01-05 07:34:00,2024-01-05 07:34:00,2024-01-05 10:00:02,2024-01-05 10:00:02,2.4,5108.0,completed,0,
172,154,35,35,2,4,2024-01-05 12:40:09,2024-01-05 12:40:09,2024-01-05 14:57:34,2024-01-05 14:57:34,2.3,5483.0,completed,0,
173,155,35,57,4,1,2024-01-05 17:52:00,2024-01-05 17:52:00,2024-01-05 20:49:39,2024-01-05 20:49:39,3.0,5256.0,completed,0,
