mission_id,mission_type,priority,requested_date,start_date,end_date,origin_base_id,dest_base_id,aircraft_id,status,pax_count,cargo_tons
19,cargo,routine,2024-01-01 14:21:00,2024-01-01 15:21:00,2024-01-01 20:25:14,4,6,39,complete,,31.1
20,sar,routine,2024-01-01 21:05:00,2024-01-01 23:05:00,2024-01-02 04:57:27,4,1,9,complete,77,
21,training,routine,2024-01-01 11:27:00,2024-01-01 11:27:00,2024-01-01 15:33:56,4,,9,complete,,
22,cargo,routine,2024-01-01 09:13:00,2024-01-01 10:13:00,2024-01-01 19:37:20,5,6,26,complete,,4.8
23,training,urgent,2024-01-01 17:45:00,2024-01-01 18:45:00,2024-01-02 01:15:10,5,,44,complete,,
24,isr,routine,2024-01-01 13:01:00,2024-01-01 16:01:00,2024-01-02 03:08:58,5,,4,complete,,
25,sar,routine,2024-01-01 09:07:00,2024-01-01 12:07:00,2024-01-01 13:20:45,5,4,44,complete,79,
26,training,urgent,2024-01-01 13:54:00,2024-01-01 13:54:00,2024-01-01 17:34:35,5,,7,complete,,
27,sar,routine,2024-01-01 10:49:00,2024-01-01 11:49:00,2024-01-01 13:39:24,6,3,11,complete,67,
28,sar,routine,2024-01-01 07:06:00,2024-01-01 08:06:00,2024-01-01 11:54:56,6,3,8,complete,19,
29,transport,routine,2024-01-01 21:59:00,2024-01-02 01:59:00,2024-01-02 10:03:22,6,4,27,cancelled,41,
30,transport,routine,2024-01-01 20:19:00,2024-01-01 22:19:00,2024-01-02 05:49:20,6,4,27,complete,9,
31,isr,routine,2024-01-01 11:53:00,2024-01-01 13:53:00,2024-01-01 15:43:38,6,,,complete,,
32,cargo,routine,2024-01-01 23:57:00,2024-01-01 23:57:00,2024-01-02 05:53:49,6,5,29,complete,,26.1
33,isr,routine,2024-01-01 14:06:00,2024-01-01 16:06:00,2024-01-02 03:54:22,6,,1,complete,,
34,transport,routine,2024-01-02 05:23:00,2024-01-02 07:23:00,2024-01-02 18:28:50,1,5,41,complete,43,
35,transport,routine,2024-01-02 17:43:00,2024-01-02 20:43:00,2024-01-03 00:50:32,1,4,5,complete,77,
36,medevac,routine,2024-01-02 09:41:00,2024-01-02 12:41:00,2024-01-02 15:06:06,1,6,20,complete,10,
37,isr,routine,2024-01-02 04:42:00,2024-01-02 08:42:00,2024-01-02 10:43:40,1,,20,complete,,
38,sar,routine,2024-01-02 10:49:00,2024-01-02 13:49:00,2024-01-02 16:55:43,1,4,10,cancelled,19,
39,cargo,routine,2024-01-02 23:56:00,2024-01-03 03:56:00,2024-01-03 05:20:54,1,2,41,complete,,30.7
40,medevac,routine,2024-01-02 19:51:00,2024-01-02 20:51:00,2024-01-03 05:46:58,2,3,42,complete,46,
41,transport,urgent,2024-01-02 14:14:00,2024-01-02 18:14:00,2024-01-02 21:51:51,2,5,42,cancelled,60,
42,medevac,routine,2024-01-02 09:49:00,2024-01-02 12:49:00,2024-01-02 19:20:55,2,6,40,complete,20,
43,medevac,urgent,2024-01-02 17:59:00,2024-01-02 17:59:00,2024-01-03 02:48:31,3,1,34,complete,15,
44,isr,routine,2024-01-02 16:09:00,2024-01-02 19:09:00,2024-01-02 21:09:31,3,,47,cancelled,,
45,training,urgent,2024-01-02 01:25:00,2024-01-02 05:25:00,2024-01-02 10:31:48,3,,36,complete,,
46,cargo,routine,2024-01-02 22:41:00,2024-01-03 00:41:00,2024-01-03 10:23:18,3,1,13,complete,,11.5
47,training,urgent,2024-01-02 14:39:00,2024-01-02 14:39:00,2024-01-03 01:36:51,3,,47,complete,,
48,medevac,urgent,2024-01-02 03:49:00,2024-01-02 05:49:00,2024-01-02 09:25:50,4,6,39,complete,30,
49,training,routine,2024-01-02 03:53:00,2024-01-02 06:53:00,2024-01-02 14:26:50,4,,9,complete,,
50,medevac,routine,2024-01-02 18:26:00,2024-01-02 19:26:00,2024-01-03 03:44:29,5,1,26,complete,46,
51,cargo,critical,2024-01-02 12:55:00,2024-01-02 15:55:00,2024-01-02 17:23:43,5,6,4,complete,,14.9
52,transport,routine,2024-01-02 18:47:00,2024-01-02 20:47:00,2024-01-02 23:15:03,5,1,7,complete,43,
53,transport,routine,2024-01-02 20:11:00,2024-01-02 21:11:00,2024-01-02 22:52:38,5,4,45,complete,58,
54,cargo,routine,2024-01-02 10:59:00,2024-01-02 12:59:00,2024-01-02 19:39:09,5,1,4,cancelled,,21.7
55,isr,routine,2024-01-02 11:55:00,2024-01-02 11:55:00,2024-01-02 22:26:25,5,,37,complete,,
56,cargo,urgent,2024-01-02 12:21:00,2024-01-02 13:21:00,2024-01-02 19:48:29,6,4,27,complete,,37.0
57,sar,routine,2024-01-02 13:38:00,2024-01-02 14:38:00,2024-01-02 21:38:00,6,1,3,complete,10,
58,isr,urgent,2024-01-02 05:44:00,2024-01-02 08:44:00,2024-01-02 13:36:01,6,,25,complete,,
59,isr,routine,2024-01-02 02:42:00,2024-01-02 05:42:00,2024-01-02 10:41:47,6,,1,complete,,
60,transport,routine,2024-01-02 01:08:00,2024-01-02 01:08:00,2024-01-02 04:43:45,6,1,27,complete,46,
61,training,critical,2024-01-02 04:43:00,2024-01-02 07:43:00,2024-01-02 19:09:13,6,,,complete,,
62,cargo,routine,2024-01-02 20:17:00,2024-01-02 21:17:00,2024-01-03 08:50:56,6,5,23,complete,,7.4
63,cargo,routine,2024-01-03 19:18:00,2024-01-03 22:18:00,2024-01-04 01:30:07,1,4,10,complete,,3.0
64,medevac,urgent,2024-01-03 10:42:00,2024-01-03 12:42:00,2024-01-03 21:30:17,1,5,48,complete,37,
65,isr,urgent,2024-01-03 20:11:00,2024-01-03 22:11:00,2024-01-04 04:46:46,1,,48,complete,,
66,medevac,urgent,2024-01-03 11:35:00,2024-01-03 15:35:00,2024-01-03 20:38:28,2,3,6,complete,70,
67,medevac,routine,2024-01-03 22:46:00,2024-01-04 01:46:00,2024-01-04 08:32:57,2,1,40,complete,73,
68,cargo,routine,2024-01-03 14:43:00,2024-01-03 18:43:00,2024-01-03 23:30:22,2,4,40,complete,,31.2
69,medevac,routine,2024-01-03 09:10:00,2024-01-03 10:10:00,2024-01-03 14:42:57,3,1,19,complete,44,
70,sar,urgent,2024-01-03 04:40:00,2024-01-03 06:40:00,2024-01-03 14:25:31,3,1,32,complete,21,
71,sar,critical,2024-01-03 18:02:00,2024-01-03 18:02:00,2024-01-03 19:55:36,3,2,34,cancelled,73,
72,isr,urgent,2024-01-03 19:40:00,2024-01-03 19:40:00,2024-01-04 02:08:42,4,,39,complete,,
73,isr,routine,2024-01-03 21:25:00,2024-01-03 23:25:00,2024-01-04 05:24:20,4,,17,complete,,
74,medevac,routine,2024-01-03 19:09:00,2024-01-03 21:09:00,2024-01-04 07:37:34,4,5,35,complete,44,
75,training,routine,2024-01-03 10:15:00,2024-01-03 13:15:00,2024-01-03 15:35:51,4,,9,complete,,
76,training,urgent,2024-01-03 10:59:00,2024-01-03 14:59:00,2024-01-03 23:54:56,5,,15,complete,,
77,medevac,routine,2024-01-03 15:01:00,2024-01-03 15:01:00,2024-01-04 02:24:51,5,6,37,complete,30,
78,medevac,routine,2024-01-03 19:56:00,2024-01-03 22:56:00,2024-01-04 03:04:35,5,1,45,complete,13,
79,training,routine,2024-01-03 12:23:00,2024-01-03 12:23:00,2024-01-03 17:47:23,5,,43,complete,,
80,medevac,routine,2024-01-03 17:17:00,2024-01-03 21:17:00,2024-01-04 05:46:03,5,3,45,complete,12,
81,training,routine,2024-01-03 04:12:00,2024-01-03 08:12:00,2024-01-03 14:48:01,5,,43,complete,,
82,cargo,routine,2024-01-03 04:38:00,2024-01-03 08:38:00,2024-01-03 11:10:15,5,3,45,cancelled,,12.7
83,training,critical,2024-01-03 18:21:00,2024-01-03 22:21:00,2024-01-04 08:27:40,6,,16,complete,,
84,transport,routine,2024-01-03 10:43:00,2024-01-03 10:43:00,2024-01-03 22:29:43,6,4,23,complete,80,
85,cargo,routine,2024-01-03 23:03:00,2024-01-04 03:03:00,2024-01-04 09:20:05,6,3,11,complete,,28.8
86,training,routine,2024-01-03 18:44:00,2024-01-03 18:44:00,2024-01-03 21:49:55,6,,1,complete,,
87,training,routine,2024-01-03 16:49:00,2024-01-03 20:49:00,2024-01-04 07:56:32,6,,25,complete,,
88,transport,urgent,2024-01-03 10:42:00,2024-01-03 13:42:00,2024-01-03 20:28:48,6,2,29,complete,22,
89,training,critical,2024-01-03 21:49:00,2024-01-03 23:49:00,2024-01-04 07:31:39,6,,23,complete,,
90,medevac,routine,2024-01-03 09:45:00,2024-01-03 10:45:00,2024-01-03 19:20:33,6,3,16,complete,61,
91,transport,routine,2024-01-04 12:57:00,2024-01-04 15:57:00,2024-01-05 01:57:07,1,2,41,cancelled,18,
92,isr,routine,2024-01-04 11:59:00,2024-01-04 14:59:00,2024-01-04 23:11:56,1,,5,complete,,
93,medevac,routine,2024-01-04 22:17:00,2024-01-04 23:17:00,2024-01-05 01:29:05,1,6,41,complete,30,
94,medevac,routine,2024-01-04 01:06:00,2024-01-04 04:06:00,2024-01-04 08:43:59,1,6,10,complete,17,
95,cargo,critical,2024-01-04 15:41:00,2024-01-04 16:41:00,2024-01-05 01:59:54,2,3,40,complete,,11.4
96,cargo,critical,2024-01-04 17:47:00,2024-01-04 17:47:00,2024-01-05 04:49:43,2,1,6,complete,,35.3
97,medevac,critical,2024-01-04 15:11:00,2024-01-04 17:11:00,2024-01-05 03:49:39,2,1,40,complete,72,
98,sar,routine,2024-01-04 17:33:00,2024-01-04 20:33:00,2024-01-05 07:19:54,2,4,42,complete,64,
99,training,routine,2024-01-04 05:46:00,2024-01-04 08:46:00,2024-01-04 16:53:52,2,,40,complete,,
100,cargo,urgent,2024-01-04 05:39:00,2024-01-04 08:39:00,2024-01-04 18:44:48,2,4,6,complete,,3.5
101,medevac,routine,2024-01-04 12:15:00,2024-01-04 15:15:00,2024-01-05 00:32:28,3,2,,cancelled,38,
102,sar,urgent,2024-01-04 22:15:00,2024-01-04 22:15:00,2024-01-05 06:35:44,3,1,34,complete,20,
103,training,urgent,2024-01-04 22:07:00,2024-01-05 00:07:00,2024-01-05 05:09:34,3,,32,complete,,
104,medevac,routine,2024-01-04 13:44:00,2024-01-04 17:44:00,2024-01-05 04:46:26,4,5,35,complete,27,
105,medevac,urgent,2024-01-04 16:28:00,2024-01-04 20:28:00,2024-01-05 05:12:29,4,6,9,complete,72,
106,cargo,routine,2024-01-04 18:34:00,2024-01-04 19:34:00,2024-01-04 22:22:35,4,6,17,complete,,17.7
107,transport,routine,2024-01-04 01:29:00,2024-01-04 02:29:00,2024-01-04 09:07:44,4,6,39,complete,7,
108,isr,urgent,2024-01-04 23:13:00,2024-01-05 03:13:00,2024-01-05 05:01:11,5,,4,complete,,
109,transport,routine,2024-01-04 15:02:00,2024-01-04 17:02:00,2024-01-04 22:31:51,5,1,7,complete,53,
110,isr,critical,2024-01-04 12:05:00,2024-01-04 16:05:00,2024-01-04 18:32:46,5,,44,complete,,
111,cargo,routine,2024-01-04 23:14:00,2024-01-04 23:14:00,2024-01-05 08:33:04,5,6,15,cancelled,,18.5
112,transport,routine,2024-01-04 07:29:00,2024-01-04 09:29:00,2024-01-04 12:11:22,5,6,26,complete,14,
113,cargo,urgent,2024-01-04 07:13:00,2024-01-04 07:13:00,2024-01-04 09:19:35,6,4,1,complete,,23.9
114,transport,urgent,2024-01-04 14:14:00,2024-01-04 18:14:00,2024-01-04 21:37:23,6,2,25,complete,7,
115,medevac,routine,2024-01-04 18:38:00,2024-01-04 20:38:00,2024-01-05 00:14:21,6,3,23,complete,66,
116,medevac,routine,2024-01-04 20:43:00,2024-01-04 23:43:00,2024-01-05 06:49:51,6,3,8,complete,44,
117,transport,urgent,2024-01-04 13:09:00,2024-01-04 15:09:00,2024-01-04 20:17:27,6,5,25,complete,60,
118,medevac,urgent,2024-01-04 14:58:00,2024-01-04 14:58:00,2024-01-04 22:09:10,6,3,8,cancelled,71,
119,isr,routine,2024-01-05 11:05:00,2024-01-05 15:05:00,2024-01-06 00:03:13,1,,22,complete,,
120,isr,routine,2024-01-05 02:12:00,2024-01-05 06:12:00,2024-01-05 15:10:02,1,,5,complete,,
121,training,routine,2024-01-05 00:13:00,2024-01-05 01:13:00,2024-01-05 12:47:58,1,,20,complete,,
122,training,critical,2024-01-05 06:25:00,2024-01-05 07:25:00,2024-01-05 14:29:22,1,,48,complete,,
123,training,routine,2024-01-05 08:23:00,2024-01-05 12:23:00,2024-01-05 23:05:39,1,,20,complete,,
124,transport,routine,2024-01-05 10:26:00,2024-01-05 10:26:00,2024-01-05 17:37:15,2,4,40,complete,18,
125,cargo,routine,2024-01-05 09:09:00,2024-01-05 10:09:00,2024-01-05 14:46:42,2,6,40,complete,,33.3
126,training,routine,2024-01-05 08:48:00,2024-01-05 11:48:00,2024-01-05 23:25:53,2,,40,complete,,
127,isr,routine,2024-01-05 05:58:00,2024-01-05 09:58:00,2024-01-05 21:51:36,3,,47,cancelled,,
128,sar,routine,2024-01-05 00:26:00,2024-01-05 01:26:00,2024-01-05 11:42:04,3,1,2,complete,19,
129,cargo,routine,2024-01-05 21:31:00,2024-01-05 21:31:00,2024-01-05 22:35:21,3,5,47,complete,,0.5
130,sar,urgent,2024-01-05 16:52:00,2024-01-05 19:52:00,2024-01-06 05:44:04,4,6,9,cancelled,13,
131,cargo,routine,2024-01-05 11:17:00,2024-01-05 14:17:00,2024-01-05 16:09:09,4,2,35,cancelled,,18.4
132,medevac,critical,2024-01-05 20:54:00,2024-01-05 20:54:00,2024-01-05 22:55:42,4,2,9,complete,70,
133,training,routine,2024-01-05 05:05:00,2024-01-05 08:05:00,2024-01-05 18:22:55,4,,,complete,,
134,isr,routine,2024-01-05 16:58:00,2024-01-05 16:58:00,2024-01-05 20:29:38,4,,9,cancelled,,
135,isr,routine,2024-01-05 17:36:00,2024-01-05 17:36:00,2024-01-05 20:34:22,5,,37,complete,,
136,cargo,critical,2024-01-05 02:19:00,2024-01-05 03:19:00,2024-01-05 10:31:12,5,6,44,complete,,34.0
137,transport,urgent,2024-01-05 22:46:00,2024-01-05 22:46:00,2024-01-06 05:16:31,5,3,15,cancelled,6,
138,cargo,routine,2024-01-05 10:01:00,2024-01-05 12:01:00,2024-01-05 21:38:08,5,1,44,complete,,9.1
139,sar,critical,2024-01-05 02:49:00,2024-01-05 06:49:00,2024-01-05 11:03:57,5,4,44,complete,9,
140,cargo,routine,2024-01-05 23:24:00,2024-01-06 01:24:00,2024-01-06 06:22:03,5,4,15,complete,,37.7
141,training,routine,2024-01-05 02:11:00,2024-01-05 05:11:00,2024-01-05 11:07:14,6,,8,complete,,
142,training,routine,2024-01-05 02:38:00,2024-01-05 06:38:00,2024-01-05 16:15:43,6,,29,complete,,
143,cargo,routine,2024-01-05 07:36:00,2024-01-05 11:36:00,2024-01-05 14:27:55,6,4,29,complete,,5.6
144,isr,routine,2024-01-05 13:17:00,2024-01-05 16:17:00,2024-01-05 20:34:50,6,,8,complete,,
145,isr,routine,2024-01-05 19:39:00,2024-01-05 20:39:00,2024-01-06 02:41:11,6,,27,complete,,
146,sar,routine,2024-01-06 20:38:00,2024-01-06 21:38:00,2024-01-07 01:56:17,1,4,22,complete,25,
147,training,routine,2024-01-06 09:47:00,2024-01-06 12:47:00,2024-01-07 00:25:43,1,,20,complete,,
148,isr,routine,2024-01-06 11:07:00,2024-01-06 15:07:00,2024-01-06 18:18:52,1,,22,cancelled,,
149,medevac,urgent,2024-01-06 23:29:00,2024-01-07 00:29:00,2024-01-07 06:18:22,1,6,,complete,8,
150,training,urgent,2024-01-06 07:16:00,2024-01-06 08:16:00,2024-01-06 17:08:03,1,,20,complete,,
151,cargo,routine,2024-01-06 17:32:00,2024-01-06 20:32:00,2024-01-07 03:30:48,1,6,22,complete,,14.4
152,sar,routine,2024-01-06 21:42:00,2024-01-06 23:42:00,2024-01-07 02:31:47,1,2,10,complete,72,
153,transport,urgent,2024-01-06 13:06:00,2024-01-06 13:06:00,2024-01-06 15:11:04,1,5,20,complete,66,
154,sar,routine,2024-01-06 12:29:00,2024-01-06 16:29:00,2024-01-07 01:04:41,2,6,40,complete,3,
155,training,routine,2024-01-06 03:53:00,2024-01-06 04:53:00,2024-01-06 09:42:53,2,,6,complete,,
156,medevac,routine,2024-01-06 23:44:00,2024-01-07 02:44:00,2024-01-07 07:14:28,2,4,40,complete,14,
157,cargo,urgent,2024-01-06 16:11:00,2024-01-06 20:11:00,2024-01-06 22:56:41,3,2,24,complete,,38.3
158,medevac,urgent,2024-01-06 12:01:00,2024-01-06 16:01:00,2024-01-07 02:43:50,3,2,36,complete,54,
159,training,routine,2024-01-06 22:51:00,2024-01-06 22:51:00,2024-01-07 06:12:02,3,,32,complete,,
160,sar,routine,2024-01-06 08:42:00,2024-01-06 11:42:00,2024-01-06 18:30:17,3,4,13,complete,76,
161,training,routine,2024-01-06 11:54:00,2024-01-06 14:54:00,2024-01-06 22:41:27,3,,34,complete,,
162,transport,urgent,2024-01-06 10:07:00,2024-01-06 11:07:00,2024-01-06 15:28:33,4,6,17,complete,18,
163,sar,routine,2024-01-06 13:11:00,2024-01-06 16:11:00,2024-01-07 00:10:25,4,6,39,complete,22,
164,sar,routine,2024-01-06 14:39:00,2024-01-06 14:39:00,2024-01-07 01:10:14,4,3,35,cancelled,62,
165,medevac,routine,2024-01-06 13:43:00,2024-01-06 16:43:00,2024-01-06 22:17:18,4,5,39,complete,62,
166,medevac,routine,2024-01-06 09:02:00,2024-01-06 11:02:00,2024-01-06 14:30:23,4,1,17,complete,58,
167,training,routine,2024-01-06 08:49:00,2024-01-06 12:49:00,2024-01-06 22:52:21,5,,7,complete,,
168,cargo,urgent,2024-01-06 03:47:00,2024-01-06 04:47:00,2024-01-06 09:03:29,5,4,44,cancelled,,18.0
169,isr,urgent,2024-01-06 07:13:00,2024-01-06 11:13:00,2024-01-06 19:47:49,5,,7,complete,,
170,sar,routine,2024-01-06 06:51:00,2024-01-06 06:51:00,2024-01-06 14:07:14,5,2,26,complete,76,
171,sar,routine,2024-01-06 16:57:00,2024-01-06 16:57:00,2024-01-06 19:26:29,6,3,16,complete,52,
172,cargo,critical,2024-01-06 07:09:00,2024-01-06 09:09:00,2024-01-06 19:15:47,6,2,8,complete,,27.0
173,training,routine,2024-01-06 12:28:00,2024-01-06 12:28:00,2024-01-06 20:26:11,6,,25,complete,,
174,cargo,routine,2024-01-06 14:31:00,2024-01-06 16:31:00,2024-01-06 23:55:05,6,3,23,complete,,33.9
175,cargo,urgent,2024-01-06 02:50:00,2024-01-06 06:50:00,2024-01-06 12:12:29,6,4,23,cancelled,,33.0
176,training,routine,2024-01-06 17:36:00,2024-01-06 18:36:00,2024-01-07 01:49:39,6,,23,complete,,
177,cargo,routine,2024-01-07 05:28:00,2024-01-07 08:28:00,2024-01-07 09:28:26,1,5,,cancelled,,8.1
178,transport,critical,2024-01-07 02:41:00,2024-01-07 04:41:00,2024-01-07 08:26:15,1,4,20,complete,21,
179,cargo,routine,2024-01-07 13:41:00,2024-01-07 13:41:00,2024-01-07 22:25:26,1,4,10,complete,,19.1
180,medevac,routine,2024-01-07 00:44:00,2024-01-07 02:44:00,2024-01-07 12:43:17,1,6,5,cancelled,54,
181,transport,routine,2024-01-07 23:51:00,2024-01-07 23:51:00,2024-01-08 01:59:06,1,2,5,complete,38,
182,medevac,routine,2024-01-07 04:04:00,2024-01-07 08:04:00,2024-01-07 15:15:46,2,3,42,complete,21,
183,training,routine,2024-01-07 04:58:00,2024-01-07 07:58:00,2024-01-07 15:44:36,2,,42,complete,,
184,medevac,routine,2024-01-07 18:46:00,2024-01-07 21:46:00,2024-01-08 02:38:00,2,1,6,complete,17,
185,medevac,routine,2024-01-07 19:46:00,2024-01-07 23:46:00,2024-01-08 03:54:02,2,1,42,cancelled,3,
186,transport,urgent,2024-01-07 06:47:00,2024-01-07 09:47:00,2024-01-07 14:02:03,2,3,42,complete,30,
187,training,routine,2024-01-07 11:59:00,2024-01-07 13:59:00,2024-01-07 16:26:06,3,,2,complete,,
188,sar,routine,2024-01-07 02:01:00,2024-01-07 06:01:00,2024-01-07 07:45:34,3,6,47,complete,5,
189,cargo,critical,2024-01-07 13:44:00,2024-01-07 16:44:00,2024-01-07 18:38:24,3,5,36,complete,,24.6
190,isr,routine,2024-01-07 04:34:00,2024-01-07 06:34:00,2024-01-07 11:51:52,4,,17,complete,,
191,transport,urgent,2024-01-07 23:54:00,2024-01-08 00:54:00,2024-01-08 02:32:13,4,1,39,complete,55,
192,cargo,routine,2024-01-07 03:00:00,2024-01-07 04:00:00,2024-01-07 12:42:59,4,6,17,complete,,38.1
193,sar,routine,2024-01-07 23:49:00,2024-01-08 01:49:00,2024-01-08 10:52:44,4,3,17,complete,3,
194,isr,urgent,2024-01-07 08:45:00,2024-01-07 12:45:00,2024-01-07 20:39:10,4,,9,complete,,
195,sar,routine,2024-01-07 18:43:00,2024-01-07 18:43:00,2024-01-07 22:13:44,5,2,7,complete,5,
196,cargo,routine,2024-01-07 05:59:00,2024-01-07 05:59:00,2024-01-07 13:03:53,5,4,15,cancelled,,29.6
197,training,routine,2024-01-07 08:52:00,2024-01-07 08:52:00,2024-01-07 16:09:12,5,,43,complete,,
198,transport,critical,2024-01-07 12:04:00,2024-01-07 15:04:00,2024-01-08 01:35:34,5,2,4,complete,39,
199,isr,routine,2024-01-07 06:18:00,2024-01-07 10:18:00,2024-01-07 19:55:46,5,,43,complete,,
200,medevac,routine,2024-01-07 23:57:00,2024-01-08 03:57:00,2024-01-08 13:18:55,5,6,26,complete,0,
201,training,routine,2024-01-07 10:00:00,2024-01-07 13:00:00,2024-01-07 23:20:20,6,,1,complete,,
202,cargo,routine,2024-01-07 04:45:00,2024-01-07 06:45:00,2024-01-07 08:46:23,6,2,1,cancelled,,35.9
203,sar,routine,2024-01-07 18:06:00,2024-01-07 22:06:00,2024-01-08 00:34:07,6,3,3,complete,9,
204,sar,routine,2024-01-07 07:18:00,2024-01-07 09:18:00,2024-01-07 19:39:36,6,4,8,cancelled,50,
205,transport,urgent,2024-01-07 07:04:00,2024-01-07 08:04:00,2024-01-07 10:33:50,6,3,16,complete,13,
206,medevac,routine,2024-01-07 03:34:00,2024-01-07 05:34:00,2024-01-07 17:10:39,6,4,25,complete,39,
207,training,routine,2024-01-07 21:19:00,2024-01-08 01:19:00,2024-01-08 02:45:37,6,,8,complete,,
208,medevac,critical,2024-01-08 09:16:00,2024-01-08 10:16:00,2024-01-08 11:36:30,1,5,48,complete,57,
209,sar,urgent,2024-01-08 04:07:00,2024-01-08 04:07:00,2024-01-08 05:47:42,1,3,5,complete,28,
210,medevac,routine,2024-01-08 20:05:00,2024-01-09 00:05:00,2024-01-09 07:31:50,1,5,48,cancelled,9,
211,cargo,critical,2024-01-08 04:05:00,2024-01-08 06:05:00,2024-01-08 08:25:52,1,3,22,cancelled,,2.0
212,sar,routine,2024-01-08 21:27:00,2024-01-08 22:27:00,2024-01-09 03:20:36,1,5,22,cancelled,35,
213,isr,routine,2024-01-08 19:39:00,2024-01-08 20:39:00,2024-01-09 04:46:12,1,,41,complete,,
214,sar,routine,2024-01-08 13:12:00,2024-01-08 17:12:00,2024-01-08 20:56:26,2,1,6,cancelled,69,
215,cargo,critical,2024-01-08 11:58:00,2024-01-08 15:58:00,2024-01-08 22:29:34,2,4,40,complete,,7.2
216,isr,routine,2024-01-08 08:03:00,2024-01-08 11:03:00,2024-01-08 17:52:25,2,,,complete,,
217,medevac,critical,2024-01-08 08:34:00,2024-01-08 08:34:00,2024-01-08 17:58:16,2,1,6,cancelled,73,
218,isr,critical,2024-01-08 05:15:00,2024-01-08 09:15:00,2024-01-08 13:44:52,3,,19,complete,,
219,isr,critical,2024-01-08 22:22:00,2024-01-09 02:22:00,2024-01-09 09:33:58,3,,,complete,,
220,medevac,urgent,2024-01-08 15:02:00,2024-01-08 15:02:00,2024-01-08 16:39:04,3,5,19,complete,2,
221,sar,routine,2024-01-08 04:21:00,2024-01-08 05:21:00,2024-01-08 16:27:23,3,4,24,complete,41,
222,cargo,routine,2024-01-08 03:54:00,2024-01-08 07:54:00,2024-01-08 18:22:02,3,6,19,cancelled,,14.9
223,transport,routine,2024-01-08 04:10:00,2024-01-08 07:10:00,2024-01-08 16:52:36,4,1,35,cancelled,40,
224,medevac,urgent,2024-01-08 07:42:00,2024-01-08 11:42:00,2024-01-08 21:39:32,4,6,35,complete,37,
225,medevac,routine,2024-01-08 18:02:00,2024-01-08 19:02:00,2024-01-09 02:39:34,4,1,39,cancelled,78,
226,training,routine,2024-01-08 11:20:00,2024-01-08 12:20:00,2024-01-08 20:19:52,5,,26,cancelled,,
227,transport,urgent,2024-01-08 06:15:00,2024-01-08 06:15:00,2024-01-08 11:06:19,5,3,37,complete,0,
228,cargo,routine,2024-01-08 15:56:00,2024-01-08 18:56:00,2024-01-08 23:47:48,5,4,44,complete,,33.2
229,sar,urgent,2024-01-08 01:18:00,2024-01-08 01:18:00,2024-01-08 05:48:21,5,2,7,cancelled,9,
230,isr,routine,2024-01-08 17:57:00,2024-01-08 17:57:00,2024-01-08 22:40:02,5,,7,cancelled,,
231,training,urgent,2024-01-08 19:56:00,2024-01-08 22:56:00,2024-01-09 01:39:41,5,,15,complete,,
232,medevac,critical,2024-01-08 21:18:00,2024-01-08 23:18:00,2024-01-09 02:54:46,5,4,37,complete,73,
233,sar,urgent,2024-01-08 13:05:00,2024-01-08 15:05:00,2024-01-09 01:08:46,6,2,1,complete,61,
