event_id,aircraft_id,base_id,event_type,category,started_at,completed_at,aircraft_hours_at_event,next_due_hours,next_due_date,grounded_days,description
17,1,6,unscheduled,hydraulic,2024-09-18 11:19:00,2024-09-19 08:19:00,1619.0,,,3,unscheduled hydraulic repair
18,1,6,unscheduled,airframe,2024-09-29 01:45:39,2024-10-01 00:45:39,1698.4,,,0,unscheduled airframe repair
19,1,6,unscheduled,landing_gear,2024-11-18 04:35:00,2024-11-21 23:35:00,1858.2,,,3,unscheduled landing_gear repair
20,1,6,inspection,avionics,2024-12-27 21:50:00,2024-12-28 07:50:00,2084.5,,2025-06-25,0,scheduled avionics check
21,1,6,unscheduled,avionics,2025-01-13 10:03:00,2025-01-16 18:03:00,2155.0,,,0,unscheduled avionics repair
22,1,6,unscheduled,airframe,2025-03-01 00:31:00,2025-03-01 07:31:00,2334.5,,,2,unscheduled airframe repair
23,1,6,unscheduled,engine,2025-05-03 16:08:25,2025-05-04 13:08:25,2646.2,,,0,unscheduled engine repair
24,1,6,inspection,airframe,2025-06-26 13:41:00,2025-06-27 13:41:00,3000.6,6000.6,,0,scheduled airframe inspection
25,1,6,inspection,avionics,2025-06-26 03:41:00,2025-06-26 08:41:00,3000.6,,2025-12-23,0,scheduled avionics check
26,1,6,scheduled,engine,2025-06-26 16:59:00,2025-06-27 20:59:00,3003.0,4503.0,2025-12-23,1,scheduled engine service
27,1,6,unscheduled,airframe,2025-08-10 08:52:00,2025-08-11 21:52:00,3476.9,,,10,unscheduled airframe repair
28,1,6,unscheduled,avionics,2025-08-12 03:57:00,2025-08-14 05:57:00,3495.4,,,3,unscheduled avionics repair
29,1,6,unscheduled,landing_gear,2025-08-17 12:12:00,2025-08-17 17:12:00,3537.6,,,3,unscheduled landing_gear repair
30,1,6,unscheduled,avionics,2025-08-27 20:28:00,2025-08-28 18:28:00,3600.1,,,3,unscheduled avionics repair
31,1,6,unscheduled,landing_gear,2025-09-14 22:50:00,2025-09-18 17:50:00,3688.7,,,0,unscheduled landing_gear repair
32,1,6,unscheduled,airframe,2025-10-26 21:07:21,2025-10-30 15:07:21,3870.7,,,3,unscheduled airframe repair
33,1,6,unscheduled,airframe,2025-11-12 20:09:09,2025-11-15 01:09:09,3902.2,,,3,unscheduled airframe repair
34,1,6,inspection,avionics,2025-12-23 04:08:00,2025-12-23 06:08:00,4457.6,,2026-06-21,0,scheduled avionics check
35,2,3,unscheduled,landing_gear,2024-03-17 22:58:00,2024-03-18 05:58:00,283.8,,,3,unscheduled landing_gear repair
36,2,3,unscheduled,avionics,2024-04-08 00:50:00,2024-04-11 10:50:00,357.0,,,2,unscheduled avionics repair
37,2,3,unscheduled,engine,2024-05-21 23:19:00,2024-05-22 13:19:00,514.6,,,3,unscheduled engine repair
38,2,3,unscheduled,airframe,2024-05-29 06:52:00,2024-05-31 21:52:00,536.7,,,3,unscheduled airframe repair
39,2,3,inspection,avionics,2024-06-30 00:23:00,2024-06-30 05:23:00,691.3,,2024-12-27,0,scheduled avionics check
40,2,3,unscheduled,engine,2024-12-15 09:44:00,2024-12-17 00:44:00,1338.6,,,3,unscheduled engine repair
41,2,3,inspection,avionics,2024-12-29 07:42:00,2024-12-29 16:42:00,1392.2,,2025-06-27,0,scheduled avionics check
42,2,3,scheduled,engine,2025-01-19 10:56:18,2025-01-20 12:56:18,1505.4,3005.4,2025-07-18,2,scheduled engine service
43,2,3,unscheduled,airframe,2025-06-15 09:56:00,2025-06-19 01:56:00,2107.1,,,2,unscheduled airframe repair
44,2,3,inspection,avionics,2025-06-27 09:20:00,2025-06-27 19:20:00,2123.5,,2025-12-24,0,scheduled avionics check
45,2,3,unscheduled,landing_gear,2025-08-12 13:45:00,2025-08-15 01:45:00,2319.8,,,1,unscheduled landing_gear repair
46,2,3,unscheduled,hydraulic,2025-08-17 01:47:59,2025-08-18 00:47:59,2330.6,,,20,unscheduled hydraulic repair
47,2,3,unscheduled,avionics,2025-10-13 11:20:00,2025-10-14 17:20:00,2606.9,,,2,unscheduled avionics repair
48,2,3,unscheduled,engine,2025-11-21 10:59:00,2025-11-23 06:59:00,2751.3,,,10,unscheduled engine repair
49,2,3,unscheduled,engine,2025-11-21 18:41:00,2025-11-22 11:41:00,2757.6,,,5,unscheduled engine repair
50,2,3,inspection,avionics,2025-12-29 13:16:00,2025-12-30 01:16:00,2829.9,,2026-06-27,0,scheduled avionics check
51,3,6,unscheduled,hydraulic,2024-01-07 03:36:00,2024-01-08 12:36:00,31.6,,,3,unscheduled hydraulic repair
52,3,6,unscheduled,avionics,2024-02-09 20:04:45,2024-02-12 20:04:45,197.2,,,3,unscheduled avionics repair
53,3,6,unscheduled,engine,2024-02-17 05:25:00,2024-02-20 04:25:00,247.9,,,5,unscheduled engine repair
54,3,6,unscheduled,landing_gear,2024-05-10 07:21:35,2024-05-13 04:21:35,645.4,,,3,unscheduled landing_gear repair
55,3,6,unscheduled,hydraulic,2024-05-24 14:48:51,2024-05-27 13:48:51,701.2,,,5,unscheduled hydraulic repair
56,3,6,inspection,avionics,2024-06-30 19:35:00,2024-07-01 05:35:00,1000.8,,2024-12-27,0,scheduled avionics check
57,3,6,unscheduled,airframe,2024-07-02 20:35:00,2024-07-04 18:35:00,1019.8,,,0,unscheduled airframe repair
58,3,6,unscheduled,landing_gear,2024-07-31 16:51:34,2024-08-01 12:51:34,1125.6,,,3,unscheduled landing_gear repair
59,3,6,unscheduled,engine,2024-09-10 15:12:21,2024-09-12 06:12:21,1383.4,,,1,unscheduled engine repair
60,3,6,scheduled,engine,2024-10-09 08:53:00,2024-10-10 19:53:00,1508.5,3008.5,2025-04-07,1,scheduled engine service
61,3,6,unscheduled,landing_gear,2024-12-13 10:41:00,2024-12-15 15:41:00,1773.4,,,3,unscheduled landing_gear repair
62,3,6,inspection,avionics,2024-12-29 00:47:00,2024-12-29 09:47:00,1903.4,,2025-06-27,0,scheduled avionics check
63,3,6,unscheduled,airframe,2025-01-14 16:42:00,2025-01-15 11:42:00,2021.5,,,3,unscheduled airframe repair
64,3,6,unscheduled,engine,2025-03-25 17:19:00,2025-03-29 03:19:00,2439.1,,,1,unscheduled engine repair
65,3,6,unscheduled,hydraulic,2025-06-06 19:58:00,2025-06-07 16:58:00,2881.5,,,5,unscheduled hydraulic repair
66,3,6,unscheduled,hydraulic,2025-06-09 17:14:00,2025-06-13 00:14:00,2888.2,,,2,unscheduled hydraulic repair
67,3,6,unscheduled,avionics,2025-06-16 04:12:00,2025-06-19 12:12:00,2933.3,,,0,unscheduled avionics repair
68,3,6,inspection,airframe,2025-06-22 16:27:00,2025-06-23 00:27:00,3000.4,6000.4,,0,scheduled airframe inspection
69,3,6,scheduled,engine,2025-06-22 16:33:00,2025-06-24 07:33:00,3011.4,4511.4,2025-12-19,3,scheduled engine service
70,3,6,inspection,avionics,2025-06-28 03:08:00,2025-06-28 08:08:00,3052.3,,2025-12-25,0,scheduled avionics check
71,3,6,unscheduled,airframe,2025-08-09 19:21:00,2025-08-12 02:21:00,3397.5,,,20,unscheduled airframe repair
72,3,6,unscheduled,engine,2025-09-17 21:30:15,2025-09-18 04:30:15,3652.2,,,1,unscheduled engine repair
73,3,6,unscheduled,engine,2025-10-09 19:44:54,2025-10-12 12:44:54,3787.0,,,3,unscheduled engine repair
74,3,6,unscheduled,landing_gear,2025-10-12 19:31:00,2025-10-16 02:31:00,3814.0,,,3,unscheduled landing_gear repair
75,3,6,unscheduled,engine,2025-10-28 01:44:46,2025-10-31 00:44:46,3916.0,,,3,unscheduled engine repair
76,3,6,inspection,avionics,2025-12-28 08:36:00,2025-12-28 12:36:00,4078.7,,2026-06-26,0,scheduled avionics check
77,4,5,unscheduled,airframe,2024-01-15 05:57:45,2024-01-17 20:57:45,41.8,,,3,unscheduled airframe repair
78,4,5,unscheduled,airframe,2024-03-20 21:47:00,2024-03-23 00:47:00,374.1,,,5,unscheduled airframe repair
79,4,5,unscheduled,airframe,2024-03-31 07:19:00,2024-04-01 22:19:00,437.2,,,0,unscheduled airframe repair
80,4,5,unscheduled,landing_gear,2024-04-07 15:36:00,2024-04-09 16:36:00,493.7,,,1,unscheduled landing_gear repair
81,4,5,unscheduled,landing_gear,2024-04-08 03:08:00,2024-04-10 08:08:00,505.8,,,10,unscheduled landing_gear repair
82,4,5,unscheduled,airframe,2024-04-28 13:16:58,2024-04-30 04:16:58,582.3,,,0,unscheduled airframe repair
83,4,5,inspection,avionics,2024-06-30 21:02:00,2024-07-01 00:02:00,748.9,,2024-12-27,0,scheduled avionics check
84,4,5,unscheduled,landing_gear,2024-07-02 13:32:00,2024-07-05 04:32:00,760.9,,,0,unscheduled landing_gear repair
85,4,5,unscheduled,hydraulic,2024-08-04 03:06:00,2024-08-06 00:06:00,943.3,,,0,unscheduled hydraulic repair
86,4,5,unscheduled,hydraulic,2024-08-06 22:56:37,2024-08-10 02:56:37,979.7,,,10,unscheduled hydraulic repair
87,4,5,unscheduled,engine,2024-09-08 09:29:00,2024-09-11 14:29:00,1139.4,,,2,unscheduled engine repair
88,4,5,unscheduled,avionics,2024-10-16 15:22:00,2024-10-19 17:22:00,1433.2,,,2,unscheduled avionics repair
89,4,5,scheduled,engine,2024-10-28 09:12:00,2024-10-29 19:12:00,1502.4,3002.4,2025-04-26,1,scheduled engine service
90,4,5,unscheduled,airframe,2024-11-05 02:47:05,2024-11-08 06:47:05,1519.2,,,3,unscheduled airframe repair
91,4,5,inspection,avionics,2024-12-28 02:32:23,2024-12-28 06:32:23,1794.4,,2025-06-26,0,scheduled avionics check
92,4,5,unscheduled,hydraulic,2025-03-21 12:47:00,2025-03-24 08:47:00,2337.4,,,3,unscheduled hydraulic repair
93,4,5,unscheduled,avionics,2025-04-04 23:35:00,2025-04-08 07:35:00,2404.6,,,3,unscheduled avionics repair
94,4,5,unscheduled,avionics,2025-04-27 10:13:00,2025-05-01 08:13:00,2441.0,,,3,unscheduled avionics repair
95,4,5,unscheduled,engine,2025-05-10 07:38:00,2025-05-13 12:38:00,2478.9,,,3,unscheduled engine repair
96,4,5,inspection,avionics,2025-06-27 03:27:00,2025-06-27 13:27:00,2692.3,,2025-12-24,0,scheduled avionics check
97,4,5,unscheduled,engine,2025-07-19 06:16:00,2025-07-21 12:16:00,2790.4,,,2,unscheduled engine repair
98,4,5,unscheduled,landing_gear,2025-09-02 03:04:00,2025-09-02 23:04:00,2953.7,,,3,unscheduled landing_gear repair
99,4,5,scheduled,engine,2025-09-13 05:30:00,2025-09-13 16:30:00,3004.5,4504.5,2026-03-12,1,scheduled engine service
100,4,5,inspection,airframe,2025-09-12 22:30:00,2025-09-13 07:30:00,3004.5,6004.5,,0,scheduled airframe inspection
101,4,5,unscheduled,engine,2025-09-30 23:37:22,2025-10-01 08:37:22,3138.2,,,3,unscheduled engine repair
102,4,5,unscheduled,engine,2025-10-14 03:05:00,2025-10-14 11:05:00,3253.2,,,3,unscheduled engine repair
103,4,5,unscheduled,avionics,2025-11-24 08:13:00,2025-11-26 04:13:00,3377.9,,,3,unscheduled avionics repair
104,4,5,inspection,avionics,2025-12-27 06:08:00,2025-12-27 17:08:00,3518.9,,2026-06-25,0,scheduled avionics check
105,5,1,unscheduled,airframe,2024-02-29 18:53:00,2024-03-02 01:53:00,437.9,,,1,unscheduled airframe repair
106,5,1,unscheduled,airframe,2024-02-29 23:07:16,2024-03-02 07:07:16,441.7,,,0,unscheduled airframe repair
107,5,1,unscheduled,airframe,2024-03-23 04:46:00,2024-03-25 07:46:00,660.1,,,3,unscheduled airframe repair
108,5,1,unscheduled,airframe,2024-04-26 07:42:00,2024-04-26 13:42:00,844.7,,,3,unscheduled airframe repair
109,5,1,unscheduled,airframe,2024-05-08 21:51:00,2024-05-10 12:51:00,889.6,,,1,unscheduled airframe repair
110,5,1,unscheduled,engine,2024-05-28 09:47:00,2024-05-31 17:47:00,952.7,,,2,unscheduled engine repair
111,5,1,unscheduled,avionics,2024-05-31 11:05:00,2024-06-02 08:05:00,991.0,,,5,unscheduled avionics repair
112,5,1,inspection,avionics,2024-06-29 10:21:00,2024-06-29 13:21:00,1155.5,,2024-12-26,0,scheduled avionics check
113,5,1,unscheduled,avionics,2024-06-29 09:21:00,2024-07-02 02:21:00,1155.5,,,3,unscheduled avionics repair
114,5,1,unscheduled,airframe,2024-07-09 14:57:00,2024-07-12 19:57:00,1217.6,,,10,unscheduled airframe repair
115,5,1,unscheduled,landing_gear,2024-07-27 06:00:00,2024-07-29 15:00:00,1304.8,,,20,unscheduled landing_gear repair
116,5,1,scheduled,engine,2024-09-04 12:19:00,2024-09-05 02:19:00,1506.6,3006.6,2025-03-03,1,scheduled engine service
117,5,1,unscheduled,airframe,2024-10-06 18:35:00,2024-10-07 13:35:00,1669.3,,,1,unscheduled airframe repair
118,5,1,unscheduled,hydraulic,2024-11-10 06:34:00,2024-11-11 21:34:00,1837.0,,,1,unscheduled hydraulic repair
119,5,1,inspection,avionics,2024-12-26 17:36:00,2024-12-27 05:36:00,2069.0,,2025-06-24,0,scheduled avionics check
120,5,1,unscheduled,hydraulic,2025-01-04 10:20:00,2025-01-06 14:20:00,2117.8,,,3,unscheduled hydraulic repair
121,5,1,unscheduled,airframe,2025-02-03 01:18:00,2025-02-03 13:18:00,2328.3,,,3,unscheduled airframe repair
122,5,1,unscheduled,avionics,2025-02-20 16:44:00,2025-02-23 20:44:00,2403.2,,,2,unscheduled avionics repair
123,5,1,unscheduled,engine,2025-02-21 07:39:00,2025-02-21 12:39:00,2406.0,,,2,unscheduled engine repair
124,5,1,unscheduled,engine,2025-03-01 04:18:00,2025-03-04 21:18:00,2456.9,,,3,unscheduled engine repair
125,5,1,unscheduled,engine,2025-03-25 12:56:00,2025-03-28 21:56:00,2638.7,,,3,unscheduled engine repair
126,5,1,unscheduled,engine,2025-04-05 18:12:00,2025-04-09 14:12:00,2747.1,,,2,unscheduled engine repair
127,5,1,unscheduled,landing_gear,2025-04-15 12:14:00,2025-04-15 16:14:00,2826.9,,,5,unscheduled landing_gear repair
128,5,1,inspection,airframe,2025-05-21 17:19:00,2025-05-22 05:19:00,3000.3,6000.3,,0,scheduled airframe inspection
129,5,1,scheduled,engine,2025-05-22 03:12:24,2025-05-23 05:12:24,3006.6,4506.6,2025-11-18,2,scheduled engine service
130,5,1,unscheduled,landing_gear,2025-05-21 17:12:24,2025-05-24 20:12:24,3006.6,,,0,unscheduled landing_gear repair
131,5,1,inspection,avionics,2025-06-26 17:06:00,2025-06-27 01:06:00,3148.8,,2025-12-23,0,scheduled avionics check
132,5,1,unscheduled,airframe,2025-07-03 10:43:00,2025-07-05 12:43:00,3178.5,,,3,unscheduled airframe repair
133,5,1,unscheduled,avionics,2025-07-25 08:33:00,2025-07-27 00:33:00,3310.2,,,1,unscheduled avionics repair
134,5,1,unscheduled,landing_gear,2025-08-02 18:42:40,2025-08-04 05:42:40,3420.4,,,1,unscheduled landing_gear repair
135,5,1,unscheduled,avionics,2025-10-10 09:43:00,2025-10-13 14:43:00,3750.5,,,5,unscheduled avionics repair
136,5,1,unscheduled,hydraulic,2025-11-29 12:14:00,2025-12-02 14:14:00,4119.6,,,5,unscheduled hydraulic repair
137,5,1,unscheduled,airframe,2025-11-30 21:50:29,2025-12-02 00:50:29,4139.9,,,10,unscheduled airframe repair
138,5,1,inspection,avionics,2025-12-25 15:07:00,2025-12-25 17:07:00,4178.0,,2026-06-23,0,scheduled avionics check
139,6,2,unscheduled,landing_gear,2024-01-12 19:24:00,2024-01-13 17:24:00,14.2,,,20,unscheduled landing_gear repair
140,6,2,unscheduled,airframe,2024-01-29 07:38:22,2024-02-01 18:38:22,106.5,,,3,unscheduled airframe repair
141,6,2,unscheduled,hydraulic,2024-03-22 00:26:00,2024-03-25 19:26:00,420.7,,,3,unscheduled hydraulic repair
142,6,2,unscheduled,avionics,2024-03-28 01:58:00,2024-03-30 23:58:00,479.3,,,10,unscheduled avionics repair
143,6,2,unscheduled,avionics,2024-06-02 03:10:00,2024-06-05 07:10:00,1130.3,,,2,unscheduled avionics repair
144,6,2,unscheduled,avionics,2024-06-19 18:51:00,2024-06-20 02:51:00,1332.3,,,3,unscheduled avionics repair
145,6,2,inspection,avionics,2024-06-29 19:02:00,2024-06-30 06:02:00,1443.1,,2024-12-26,0,scheduled avionics check
146,6,2,scheduled,engine,2024-07-09 20:00:00,2024-07-10 23:00:00,1502.8,3002.8,2025-01-05,2,scheduled engine service
147,6,2,unscheduled,hydraulic,2024-07-11 21:14:00,2024-07-13 08:14:00,1533.2,,,3,unscheduled hydraulic repair
148,6,2,unscheduled,landing_gear,2024-07-27 05:28:00,2024-07-28 19:28:00,1728.7,,,2,unscheduled landing_gear repair
149,6,2,unscheduled,engine,2024-07-28 09:07:00,2024-07-31 16:07:00,1737.4,,,1,unscheduled engine repair
150,6,2,unscheduled,engine,2024-08-21 13:31:00,2024-08-24 08:31:00,2021.9,,,3,unscheduled engine repair
151,6,2,unscheduled,hydraulic,2024-08-25 19:16:00,2024-08-26 19:16:00,2083.7,,,10,unscheduled hydraulic repair
152,6,2,unscheduled,airframe,2024-09-29 23:52:00,2024-10-02 06:52:00,2418.7,,,1,unscheduled airframe repair
153,6,2,unscheduled,hydraulic,2024-10-14 18:33:58,2024-10-17 22:33:58,2591.3,,,10,unscheduled hydraulic repair
154,6,2,scheduled,engine,2024-12-18 03:13:00,2024-12-18 19:13:00,3003.8,4503.8,2025-06-16,3,scheduled engine service
155,6,2,inspection,airframe,2024-12-17 23:13:00,2024-12-18 06:13:00,3003.8,6003.8,,2,scheduled airframe inspection
156,6,2,unscheduled,landing_gear,2024-12-18 08:04:31,2024-12-20 08:04:31,3006.2,,,2,unscheduled landing_gear repair
157,6,2,unscheduled,airframe,2024-12-19 06:12:00,2024-12-19 18:12:00,3017.8,,,5,unscheduled airframe repair
158,6,2,inspection,avionics,2024-12-27 16:51:00,2024-12-28 03:51:00,3103.8,,2025-06-25,0,scheduled avionics check
159,6,2,unscheduled,landing_gear,2025-02-06 01:02:39,2025-02-06 13:02:39,3426.4,,,2,unscheduled landing_gear repair
160,6,2,unscheduled,avionics,2025-02-11 11:10:00,2025-02-12 00:10:00,3454.3,,,10,unscheduled avionics repair
161,6,2,unscheduled,avionics,2025-03-21 05:25:00,2025-03-23 19:25:00,3807.3,,,10,unscheduled avionics repair
162,6,2,unscheduled,avionics,2025-04-01 14:49:00,2025-04-04 02:49:00,3905.5,,,10,unscheduled avionics repair
163,6,2,unscheduled,hydraulic,2025-04-28 09:55:08,2025-05-01 02:55:08,4238.6,,,3,unscheduled hydraulic repair
164,6,2,scheduled,engine,2025-05-13 18:37:00,2025-05-14 04:37:00,4509.2,6009.2,2025-11-09,5,scheduled engine service
165,6,2,unscheduled,avionics,2025-05-23 03:10:00,2025-05-26 10:10:00,4622.0,,,2,unscheduled avionics repair
166,6,2,unscheduled,airframe,2025-06-01 16:39:00,2025-06-02 15:39:00,4747.5,,,3,unscheduled airframe repair
167,6,2,inspection,avionics,2025-06-25 19:27:00,2025-06-26 01:27:00,5079.4,,2025-12-22,0,scheduled avionics check
168,6,2,unscheduled,engine,2025-07-02 12:56:00,2025-07-06 04:56:00,5160.0,,,3,unscheduled engine repair
169,6,2,unscheduled,airframe,2025-07-10 03:16:12,2025-07-11 03:16:12,5303.6,,,2,unscheduled airframe repair
170,6,2,unscheduled,hydraulic,2025-07-10 08:56:19,2025-07-10 20:56:19,5309.6,,,0,unscheduled hydraulic repair
171,6,2,unscheduled,landing_gear,2025-07-11 14:15:00,2025-07-11 18:15:00,5316.7,,,3,unscheduled landing_gear repair
172,6,2,unscheduled,avionics,2025-07-25 16:04:00,2025-07-25 22:04:00,5476.5,,,0,unscheduled avionics repair
173,6,2,unscheduled,avionics,2025-08-20 01:17:22,2025-08-21 23:17:22,5733.3,,,3,unscheduled avionics repair
174,6,2,inspection,airframe,2025-09-11 02:42:15,2025-09-11 17:42:15,6006.1,9006.1,,1,scheduled airframe inspection
175,6,2,scheduled,engine,2025-09-10 14:53:00,2025-09-11 05:53:00,6012.9,7512.9,2026-03-09,2,scheduled engine service
176,6,2,unscheduled,avionics,2025-09-19 11:06:00,2025-09-20 18:06:00,6104.7,,,5,unscheduled avionics repair
177,6,2,unscheduled,hydraulic,2025-09-28 04:40:03,2025-09-30 04:40:03,6182.9,,,0,unscheduled hydraulic repair
178,6,2,unscheduled,avionics,2025-10-09 00:39:00,2025-10-09 23:39:00,6266.7,,,1,unscheduled avionics repair
179,6,2,unscheduled,airframe,2025-11-05 20:49:00,2025-11-08 18:49:00,6510.5,,,10,unscheduled airframe repair
180,6,2,unscheduled,airframe,2025-11-09 04:31:27,2025-11-12 04:31:27,6556.4,,,5,unscheduled airframe repair
181,6,2,unscheduled,airframe,2025-12-03 18:52:00,2025-12-04 21:52:00,6808.1,,,1,unscheduled airframe repair
182,6,2,unscheduled,hydraulic,2025-12-22 16:54:00,2025-12-26 12:54:00,6817.7,,,2,unscheduled hydraulic repair
183,6,2,inspection,avionics,2025-12-26 04:00:00,2025-12-26 10:00:00,6828.8,,2026-06-24,0,scheduled avionics check
184,7,5,unscheduled,airframe,2024-01-17 21:13:00,2024-01-19 18:13:00,108.6,,,1,unscheduled airframe repair
185,7,5,unscheduled,landing_gear,2024-06-05 22:34:36,2024-06-07 09:34:36,726.2,,,0,unscheduled landing_gear repair
186,7,5,unscheduled,airframe,2024-06-24 09:40:00,2024-06-24 13:40:00,780.5,,,10,unscheduled airframe repair
187,7,5,inspection,avionics,2024-06-30 01:43:00,2024-06-30 05:43:00,828.7,,2024-12-27,0,scheduled avionics check
188,7,5,unscheduled,airframe,2024-07-19 22:05:00,2024-07-23 11:05:00,929.9,,,0,unscheduled airframe repair
189,7,5,unscheduled,hydraulic,2024-08-12 12:09:59,2024-08-15 19:09:59,1020.0,,,1,unscheduled hydraulic repair
190,7,5,unscheduled,avionics,2024-08-28 09:44:00,2024-09-01 02:44:00,1090.2,,,1,unscheduled avionics repair
191,7,5,scheduled,engine,2024-11-13 01:18:00,2024-11-14 09:18:00,1504.0,3004.0,2025-05-12,2,scheduled engine service
192,7,5,unscheduled,airframe,2024-11-29 11:15:00,2024-11-30 22:15:00,1572.4,,,20,unscheduled airframe repair
193,7,5,inspection,avionics,2024-12-28 16:32:00,2024-12-28 22:32:00,1760.6,,2025-06-26,0,scheduled avionics check
194,7,5,unscheduled,hydraulic,2025-01-14 02:32:00,2025-01-16 08:32:00,1894.9,,,5,unscheduled hydraulic repair
195,7,5,unscheduled,avionics,2025-01-24 05:50:00,2025-01-25 00:50:00,1925.2,,,20,unscheduled avionics repair
196,7,5,unscheduled,landing_gear,2025-02-28 15:32:00,2025-03-03 12:32:00,2044.8,,,20,unscheduled landing_gear repair
197,7,5,unscheduled,engine,2025-05-18 18:56:27,2025-05-19 20:56:27,2342.4,,,1,unscheduled engine repair
198,7,5,unscheduled,engine,2025-06-11 14:08:00,2025-06-15 09:08:00,2502.1,,,0,unscheduled engine repair
199,7,5,unscheduled,avionics,2025-06-12 04:38:00,2025-06-14 05:38:00,2510.2,,,0,unscheduled avionics repair
200,7,5,inspection,avionics,2025-06-27 17:00:00,2025-06-27 21:00:00,2581.8,,2025-12-24,0,scheduled avionics check
201,7,5,scheduled,engine,2025-10-16 11:35:00,2025-10-17 01:35:00,3006.0,4506.0,2026-04-14,1,scheduled engine service
202,7,5,inspection,airframe,2025-10-16 12:35:00,2025-10-17 10:35:00,3006.0,6006.0,,2,scheduled airframe inspection
203,7,5,inspection,avionics,2025-12-24 21:27:00,2025-12-25 01:27:00,3303.1,,2026-06-22,0,scheduled avionics check
204,8,6,unscheduled,engine,2024-03-31 07:21:00,2024-04-01 05:21:00,433.1,,,5,unscheduled engine repair
205,8,6,inspection,avionics,2024-06-29 05:33:00,2024-06-29 10:33:00,1082.1,,2024-12-26,0,scheduled avionics check
206,8,6,unscheduled,avionics,2024-08-02 10:03:36,2024-08-04 09:03:36,1448.0,,,3,unscheduled avionics repair
207,8,6,scheduled,engine,2024-08-17 12:23:00,2024-08-18 21:23:00,1500.6,3000.6,2025-02-13,2,scheduled engine service
208,8,6,unscheduled,engine,2024-09-12 03:44:00,2024-09-12 12:44:00,1712.4,,,3,unscheduled engine repair
209,8,6,unscheduled,avionics,2024-10-11 08:52:14,2024-10-15 00:52:14,1881.0,,,0,unscheduled avionics repair
210,8,6,inspection,avionics,2024-12-27 06:54:00,2024-12-27 17:54:00,2135.3,,2025-06-25,0,scheduled avionics check
211,8,6,unscheduled,avionics,2025-02-02 07:19:00,2025-02-05 22:19:00,2389.6,,,10,unscheduled avionics repair
212,8,6,unscheduled,landing_gear,2025-04-03 19:34:20,2025-04-07 19:34:20,2703.7,,,2,unscheduled landing_gear repair
213,8,6,scheduled,engine,2025-05-17 08:59:00,2025-05-18 19:59:00,3003.3,4503.3,2025-11-13,2,scheduled engine service
214,8,6,inspection,airframe,2025-05-17 09:59:00,2025-05-17 19:59:00,3003.3,6003.3,,1,scheduled airframe inspection
215,8,6,unscheduled,engine,2025-05-24 19:15:58,2025-05-25 12:15:58,3037.7,,,3,unscheduled engine repair
216,8,6,unscheduled,hydraulic,2025-06-08 13:03:00,2025-06-09 09:03:00,3142.1,,,1,unscheduled hydraulic repair
217,8,6,inspection,avionics,2025-06-25 21:21:00,2025-06-25 23:21:00,3248.8,,2025-12-22,0,scheduled avionics check
218,8,6,unscheduled,airframe,2025-08-01 06:05:00,2025-08-04 15:05:00,3637.7,,,5,unscheduled airframe repair
219,8,6,unscheduled,landing_gear,2025-08-11 09:58:00,2025-08-13 18:58:00,3729.8,,,0,unscheduled landing_gear repair
